method,n_snps,beta,se,p,or,or_lower,or_upper,outcome,egger_intercept,egger_intercept_p,cochran_Q,cochran_Q_p,presso_outliers_removed,phi
IVW_fixed,93,0.8414810043551096,0.07162353416886337,0.0,2.3198000679457156,2.015966791058354,2.6694251012020636,ALLERG_ASTHMA,,,,,,
IVW_random,93,0.8414810043551096,0.18989386188312932,9.365675015082786e-06,2.3198000679457156,1.59885705772809,3.365824561507579,ALLERG_ASTHMA,,,,,,
MR_Egger,93,0.8438130605464105,0.19121810513204562,1.0202793770730523e-05,2.3252162850634117,1.5984358774104408,3.38245083755449,ALLERG_ASTHMA,0.0010177688206270536,0.8357187110093662,646.6930405553165,0.0,,
weighted_median,93,0.8497319963536918,0.4483842407660965,0.058079443671811504,2.3390199020547797,0.9713182441244882,5.632565984735239,ALLERG_ASTHMA,,,,,,
IVW_PRESSO_corrected,93,0.8512854316797401,0.09016669694066765,0.0,2.342656241877074,1.9631664505758961,2.7955032880659187,ALLERG_ASTHMA,,,,,17.0,
MR_RAPS,93,0.7176065441879759,0.14359521008124007,5.810039680476109e-07,2.049521895388071,1.5467561514366484,2.7157092575798663,ALLERG_ASTHMA,,,,,,2.47391647156698
IVW_fixed,93,0.4850807357802657,0.06580151918721336,1.6830981053317373e-13,1.6243061431744015,1.4277642484599773,1.847903426353414,ALLERG_RHINITIS,,,,,,
IVW_random,93,0.4850807357802657,0.14256532748966613,0.0006676856912766205,1.6243061431744015,1.2283265246112742,2.147938999842944,ALLERG_RHINITIS,,,,,,
MR_Egger,93,0.49176104769817924,0.1431358680999761,0.0005911904809918767,1.635193339305872,1.2351775763010346,2.1647553422380317,ALLERG_RHINITIS,0.0028351121817072906,0.44044549871341243,431.8608333754709,0.0,,
weighted_median,93,0.5013254329990884,0.1671866866434336,0.0027122614415464597,1.6509079891328677,1.1896266604411758,2.29105254548681,ALLERG_RHINITIS,,,,,,
IVW_PRESSO_corrected,93,0.5831192789218208,0.06647935929489704,0.0,1.7916182808107328,1.5727406503999275,2.040957015588661,ALLERG_RHINITIS,,,,,12.0,
MR_RAPS,93,0.4917642833244208,0.10174338380571324,1.3423522171596147e-06,1.6351986301889103,1.3395681033346902,1.9960721321412525,ALLERG_RHINITIS,,,,,,2.0840928504524276
IVW_fixed,93,0.6402973800129684,0.04798585709608565,0.0,1.8970449386792685,1.72675702981679,2.084126160905488,L12_ATOPIC,,,,,,
IVW_random,93,0.6402973800129684,0.1142381980357451,2.0833623270988255e-08,1.8970449386792685,1.5164779558861547,2.3731169222738098,L12_ATOPIC,,,,,,
MR_Egger,93,0.6366771176540489,0.1148699783103419,2.9803125078942116e-08,1.8901895549258596,1.5091279390168035,2.367470948737791,L12_ATOPIC,-0.0015985131806700108,0.587375942608924,521.4155787102993,0.0,,
weighted_median,93,0.4602136498516315,0.31210555993741135,0.14033494804724445,1.5844124583224497,0.8594064971019206,2.9210424246882023,L12_ATOPIC,,,,,,
IVW_PRESSO_corrected,93,0.49179665798823735,0.06539921513548222,5.484501741648273e-14,1.6352515700517865,1.4385191211196582,1.858889227190468,L12_ATOPIC,,,,,16.0,
MR_RAPS,93,0.5467416894551391,0.08876270033159638,7.293430304144977e-10,1.7276147319139334,1.4517457486074343,2.0559059083100717,L12_ATOPIC,,,,,,2.1722187260745107
