method,n_snps,beta,se,p,or,or_lower,or_upper,outcome,exposure,trait,source,n_harmonised,steiger_applied,egger_intercept,egger_intercept_p,cochran_Q,cochran_Q_p,presso_outliers_removed
IVW_fixed,165,0.009775814629300356,0.0033610058351530065,0.003630534442514488,1.0098237539932347,1.0031933310453947,1.0164979995095733,ALLERG_ASTHMA,ALLERG_ASTHMA,crp,panukbb,168,True,,,,,
IVW_random,165,0.009775814629300356,0.004313902962105578,0.023444138491719224,1.0098237539932347,1.001321437153247,1.0183982648250467,ALLERG_ASTHMA,ALLERG_ASTHMA,crp,panukbb,168,True,,,,,
MR_Egger,165,0.0074770576984081885,0.004194578264618742,0.07465911083629284,1.0075050806939656,0.9992559612339732,1.0158222987938512,ALLERG_ASTHMA,ALLERG_ASTHMA,crp,panukbb,168,True,-0.0022141040666730388,0.00022834658386272036,270.1755589587154,3.4307047847015326e-07,
weighted_median,165,0.016561207037666302,0.00473661722466328,0.0004715444298024618,1.0166991040220188,1.0073039821778682,1.0261818541452472,ALLERG_ASTHMA,ALLERG_ASTHMA,crp,panukbb,168,True,,,,,
IVW_PRESSO_corrected,165,0.005974256387825996,0.003402758706813479,0.0791379937365233,1.0059921378492627,0.9993050908837268,1.0127239325074977,ALLERG_ASTHMA,ALLERG_ASTHMA,crp,panukbb,168,True,,,,,1.0
IVW_fixed,137,0.02322738752067387,0.0031125810949168818,8.504308368628699e-14,1.0234992440446804,1.0172742318702264,1.0297623489726495,ALLERG_ASTHMA,ALLERG_ASTHMA,wbc,panukbb,168,True,,,,,
IVW_random,137,0.02322738752067387,0.004149630744307561,2.175164026674281e-08,1.0234992440446804,1.0152086026826646,1.0318575904419094,ALLERG_ASTHMA,ALLERG_ASTHMA,wbc,panukbb,168,True,,,,,
MR_Egger,137,0.025132273699364077,0.004363390171293506,8.421148889325991e-09,1.0254507517184566,1.0167182404373725,1.0342582658373394,ALLERG_ASTHMA,ALLERG_ASTHMA,wbc,panukbb,168,True,0.0008569642291119061,0.1726426295998288,241.72215812774445,6.364209192977199e-08,
weighted_median,137,0.016694176662562572,0.004613626336057266,0.0002963726318667703,1.016834303109,1.007680816335369,1.0260709375607018,ALLERG_ASTHMA,ALLERG_ASTHMA,wbc,panukbb,168,True,,,,,
IVW_PRESSO_corrected,137,0.029138600402135735,0.0032356305353557946,0.0,1.0295672830260103,1.0230585966458872,1.0361173775899206,ALLERG_ASTHMA,ALLERG_ASTHMA,wbc,panukbb,168,True,,,,,4.0
IVW_fixed,161,-0.004508627424106291,0.00341612423019931,0.1868991948375125,0.9955015211786999,0.9888583027149305,1.002189369243532,ALLERG_ASTHMA,ALLERG_ASTHMA,neutrophil_pct,panukbb,168,True,,,,,
IVW_random,161,-0.004508627424106291,0.004521900581041364,0.3187331083901903,0.9955015211786999,0.9867174495057659,1.0043637914435348,ALLERG_ASTHMA,ALLERG_ASTHMA,neutrophil_pct,panukbb,168,True,,,,,
MR_Egger,161,-0.005828148666851136,0.004579187297801985,0.2031076964545151,0.9941888020451797,0.985305675229227,1.0031520156240652,ALLERG_ASTHMA,ALLERG_ASTHMA,neutrophil_pct,panukbb,168,True,-0.0010197554524227425,0.1184950024313482,280.34621076457995,1.288504070107166e-08,
weighted_median,161,-0.0008961351938353515,0.012477386797628992,0.94274456470845,0.9991042662153928,0.9749668453641446,1.0238392613206997,ALLERG_ASTHMA,ALLERG_ASTHMA,neutrophil_pct,panukbb,168,True,,,,,
IVW_PRESSO_corrected,161,0.00303032302772289,0.0035987619681780224,0.39976222005717243,1.0030349190979022,0.9959848319992596,1.0101349102979946,ALLERG_ASTHMA,ALLERG_ASTHMA,neutrophil_pct,panukbb,168,True,,,,,6.0
IVW_fixed,160,-0.03323399823717975,0.00338279669221681,0.0,0.9673121837584904,0.9609198465806955,0.9737470447479641,ALLERG_ASTHMA,ALLERG_ASTHMA,lymphocyte_pct,panukbb,168,True,,,,,
IVW_random,160,-0.03323399823717975,0.003740823546095176,0.0,0.9673121837584904,0.9602457743029927,0.9744305946327174,ALLERG_ASTHMA,ALLERG_ASTHMA,lymphocyte_pct,panukbb,168,True,,,,,
MR_Egger,160,-0.03274689913005764,0.0038068342514703543,0.0,0.9677834754330659,0.9605893330654534,0.9750314968961712,ALLERG_ASTHMA,ALLERG_ASTHMA,lymphocyte_pct,panukbb,168,True,0.0003891355542091966,0.4717192664446749,194.43738697606665,0.029179710038961693,
weighted_median,160,-0.0331519702782718,0.0020079428093670174,0.0,0.9673915336569614,0.9635917805817781,0.9712062703836488,ALLERG_ASTHMA,ALLERG_ASTHMA,lymphocyte_pct,panukbb,168,True,,,,,
IVW_PRESSO_corrected,160,-0.03352273223940525,0.0034945053417825707,0.0,0.967032928157506,0.9604321277668454,0.9736790941336543,ALLERG_ASTHMA,ALLERG_ASTHMA,lymphocyte_pct,panukbb,168,True,,,,,3.0
IVW_fixed,162,-0.019887943099735936,0.0033888816184483575,4.395275032820223e-09,0.9803085174860132,0.9738186817158028,0.9868416035749072,ALLERG_ASTHMA,ALLERG_ASTHMA,monocyte_pct,panukbb,168,True,,,,,
IVW_random,162,-0.019887943099735936,0.005109869845667646,9.939480454002059e-05,0.9803085174860132,0.9705393918181602,0.9901759759130708,ALLERG_ASTHMA,ALLERG_ASTHMA,monocyte_pct,panukbb,168,True,,,,,
MR_Egger,162,-0.024175691833490016,0.004808746913587117,4.970681097837826e-07,0.9761141993984778,0.966957402407413,0.9853577085145304,ALLERG_ASTHMA,ALLERG_ASTHMA,monocyte_pct,panukbb,168,True,-0.0035732764180335446,5.466564200561793e-07,366.0435480032277,0.0,
weighted_median,162,-0.0032947557799199805,0.006190965962780421,0.594596018583504,0.9967106659718209,0.98468936890278,1.0088787215900914,ALLERG_ASTHMA,ALLERG_ASTHMA,monocyte_pct,panukbb,168,True,,,,,
IVW_PRESSO_corrected,162,-0.025162233633571243,0.0035608167745550395,1.5898393712632242e-12,0.9751516967917097,0.9683696115100949,0.9819812811689387,ALLERG_ASTHMA,ALLERG_ASTHMA,monocyte_pct,panukbb,168,True,,,,,5.0
IVW_fixed,121,0.019742366741596937,0.004469668881381924,1.0009687265055689e-05,1.019938536086269,1.0110423372148514,1.0289130129401673,ALLERG_ASTHMA,ALLERG_ASTHMA,eosinophil_pct,panukbb,168,True,,,,,
IVW_random,121,0.019742366741596937,0.0052550376604463675,0.00017206837231653616,1.019938536086269,1.0094872139118258,1.0304980618453525,ALLERG_ASTHMA,ALLERG_ASTHMA,eosinophil_pct,panukbb,168,True,,,,,
