pair,w2_prior,p12,n_snps,pp_h0,pp_h1,pp_h2,pp_h3,pp_h4,verdict
IL4_eQTLGen_vs_ASTHMA,0.15^2,1e-06,175,5.116424405354996e-58,1.2078958427887236e-08,4.235391642932569e-50,0.9998988311280539,0.00010115679298767751,H3_dominant
IL4_eQTLGen_vs_ASTHMA,0.15^2,5e-06,175,5.1143549983556585e-58,1.2074072929903682e-08,4.2336785815411713e-50,0.9994944085321489,0.0005055793937780867,H3_dominant
IL4_eQTLGen_vs_ASTHMA,0.15^2,1e-05,175,5.11177059247838e-58,1.206797161213189e-08,4.2315392025164143e-50,0.9989893401071868,0.0010106478248415667,H3_dominant
IL4_eQTLGen_vs_ASTHMA,0.15^2,5e-05,175,5.091188996139159e-58,1.20193821623785e-08,4.214501694634521e-50,0.9949670947866466,0.005032893193971246,H3_dominant
IL4_eQTLGen_vs_ASTHMA,0.15^2,0.0001,175,5.0656938997881735e-58,1.1959192822218169e-08,4.1933967765382604e-50,0.9899846079909526,0.010015380049854543,H3_dominant
IL4_eQTLGen_vs_ASTHMA,0.20^2,1e-06,175,6.0173511899083286e-58,1.420588463944235e-08,4.235419745521413e-50,0.9999055326809807,9.445311313454875e-05,H3_dominant
IL4_eQTLGen_vs_ASTHMA,0.20^2,5e-06,175,6.0150786183033374e-58,1.4200519506340344e-08,4.233820155544841e-50,0.9995278985942325,0.0004720872052479172,H3_dominant
IL4_eQTLGen_vs_ASTHMA,0.20^2,1e-05,175,6.0122403165750075e-58,1.4193818786097822e-08,4.2318223663508056e-50,0.9990562569180187,0.0009437288881625101,H3_dominant
IL4_eQTLGen_vs_ASTHMA,0.20^2,5e-05,175,5.989629969249469e-58,1.4140439819900368e-08,4.2159076709153306e-50,0.9952990869152838,0.004700898944276365,H3_dominant
IL4_eQTLGen_vs_ASTHMA,0.20^2,0.0001,175,5.961605066287167e-58,1.4074278061021858e-08,4.196181844114342e-50,0.9906421781458822,0.00935780777983974,H3_dominant
IL4_eQTLGen_vs_RHINITIS,0.15^2,1e-06,175,1.5182626385279445e-53,0.00035843452068204656,4.2214348256202855e-50,0.9965742154793961,0.003067349999921904,H3_dominant
IL4_eQTLGen_vs_RHINITIS,0.15^2,5e-06,175,1.499860253138555e-53,0.0003540900482442294,4.170268137732493e-50,0.9844950518900438,0.015150858061711887,H3_dominant
IL4_eQTLGen_vs_RHINITIS,0.15^2,1e-05,175,1.4774752355549672e-53,0.00034880534792662706,4.1080279887612317e-50,0.9698017236273622,0.029849471024711194,H3_dominant
IL4_eQTLGen_vs_RHINITIS,0.15^2,5e-05,175,1.319883891637322e-53,0.00031160086407294556,3.6698550596853598e-50,0.8663601543325116,0.13332824480341537,H3_dominant
IL4_eQTLGen_vs_RHINITIS,0.15^2,0.0001,175,1.1646086627500104e-53,0.00027494317334956673,3.238121944381546e-50,0.7644388625316477,0.2352861942950027,H3_dominant
IL4_eQTLGen_vs_RHINITIS,0.20^2,1e-06,175,1.9069729284915803e-53,0.0004502020337141672,4.2214247572869143e-50,0.996572741461803,0.002977056504482823,H3_dominant
IL4_eQTLGen_vs_RHINITIS,0.20^2,5e-06,175,1.8845315014345857e-53,0.00044490401613376103,4.171746655226923e-50,0.984844984790294,0.014710111193572158,H3_dominant
