outcome,excluded_deficit,n,events,HR,lower,upper,p,HR_perSD,lower_perSD,upper_perSD
all_mortality,(none),40651,19117,41.351134936823925,37.13774952503934,46.042541145648734,0.0,1.6293501252947864,1.6065455961090078,1.6524783592995531
incident_diabe,full,34023,6565,19.549993431563685,16.064282424863915,23.792052023601112,1.7549996344971599e-193,1.4768743114433105,1.4393212371130413,1.5154071763549255
incident_diabe,excl_diabe,34023,6565,15.724115877145117,13.087315309457896,18.89217263216749,3.056920093538552e-190,1.435286540261961,1.401145724143818,1.4702592436742865
incident_cancre,full,36385,5422,3.05496373908082,2.4249828745244906,3.848605920125812,2.5980306178490038e-21,1.1577430234058204,1.1232008423423907,1.193347492020718
incident_cancre,excl_cancre,36385,5422,2.836993567443008,2.286517805603048,3.519995550434948,2.6861073906300707e-21,1.1465572904091967,1.1145727832530117,1.1794596458328033
incident_hearte,full,33715,8459,34.14882464729431,28.35872571576842,41.12110806668724,1.2203408734890524e-303,1.5889626934000742,1.5507105032676436,1.6281584703895258
incident_hearte,excl_hearte,33715,8459,26.96576030847319,22.664917907037545,32.08272061679273,2.60376988138306e-302,1.5405002892397144,1.5057914779980115,1.5760091459029877
incident_stroke,full,37266,4341,30.9334355806067,24.316738376310933,39.35056675823444,7.006730425218448e-172,1.5684865584828258,1.5197489417511405,1.618787167113652
incident_stroke,excl_stroke,37266,4341,24.618260043613777,19.6626272952868,30.82287623486943,1.0272145727685345e-171,1.5222073294807987,1.4779875148546224,1.567750153933459
incident_lunge,full,36858,3936,77.2959366052818,60.87132906281361,98.15231419577584,1.0867013219129057e-278,1.7686661740761902,1.7141115612679023,1.8249570833111008
incident_lunge,excl_lunge,36858,3936,57.49641691858096,45.98541910552926,71.88882960681315,9.109409285311096e-277,1.701335839051419,1.6522093251226495,1.7519230724750463
