metric,stratum,n_dead,n_alive,median_dead,median_alive,p
fi_var,unmatched,13734,17808,0.0065443538950586,0.0025185648669046,0.0
fi_var,mean_decile_0,562,2593,0.0017223919285851,0.0008182417733441,1.825917485133749e-37
fi_var,mean_decile_1,824,2330,0.0031185060926213,0.0015256513389002,2.955276297269084e-49
fi_var,mean_decile_2,1040,2114,0.0042567768087894,0.0022757177859057,1.22307703862262e-50
fi_var,mean_decile_3,1174,1980,0.0051186107561689,0.0026883484407528,4.080981499316105e-53
fi_var,mean_decile_4,1324,1830,0.0063540779937731,0.002932812239165,5.753156168613877e-71
fi_var,mean_decile_5,1510,1644,0.0068134573057032,0.0033885419562845,4.454039236875327e-72
fi_var,mean_decile_6,1615,1539,0.0075113465437367,0.0035773507232994,1.8198403966341586e-74
fi_var,mean_decile_7,1777,1377,0.0079869677893871,0.004195201262746,4.9897565204726825e-56
fi_var,mean_decile_8,1880,1274,0.0091313756915694,0.0052130444135436,1.3174804145411363e-49
fi_var,mean_decile_9,2028,1127,0.0089338858947436,0.0054201292705447,7.124258271962729e-42
fi_var,regression_adj_meanFI,13734,17808,,,0.0
fi_ar1,unmatched,13734,17808,0.5323702986838525,0.3768468860906452,1.379460603436829e-118
fi_ar1,mean_decile_0,562,2593,0.3985339058857834,0.2050976076538099,7.02937096399887e-08
fi_ar1,mean_decile_1,824,2330,0.4717558043629986,0.3537724873347113,9.235077188187375e-08
fi_ar1,mean_decile_2,1040,2114,0.5414093781980283,0.4131671823760567,1.2146840771594248e-07
fi_ar1,mean_decile_3,1174,1980,0.5549850215799961,0.4838587428292435,3.792575229700356e-05
fi_ar1,mean_decile_4,1324,1830,0.5829568443667565,0.4603519339475448,6.876804107520362e-14
fi_ar1,mean_decile_5,1510,1644,0.5883709426633305,0.4726757925611489,5.6559548865760847e-11
fi_ar1,mean_decile_6,1615,1539,0.5728330262340106,0.4277423042762996,3.412911490798623e-13
fi_ar1,mean_decile_7,1777,1377,0.5412036232303972,0.3848142699986188,7.509787436971796e-14
fi_ar1,mean_decile_8,1880,1274,0.5271249357117576,0.3516987249632558,1.865102832568233e-13
fi_ar1,mean_decile_9,2028,1127,0.4659009835511694,0.2052182453638274,5.0094942003116203e-23
fi_ar1,regression_adj_meanFI,13734,17808,,,3.084062754528584e-116
