analysis,n_snp,ivw_b,ivw_se,ivw_p,ivw_rand_b,ivw_rand_se,ivw_rand_p,cochran_Q,cochran_Q_p,wm_b,wm_se,wm_p,egger_b,egger_se,egger_p,egger_intercept,egger_intercept_p,component,outcome,ivw_q
BBJ wbc -> asthma,4,0.6651523148956361,0.16273580833522988,4.363966758513804e-05,0.6651523148956361,0.6834016662539782,0.3304060595942828,52.90626104795182,1.9196977341096044e-11,0.31757519161567915,1.2962677692914335,0.8064626506352728,-1.2456168758749406,0.5233022646509295,0.01729850405209632,0.1106437879023989,0.0514868809253031,wbc,asthma,0.0007855140165324848
BBJ wbc -> allergic rhinitis,4,-0.06033674841025316,0.20418775383695822,0.7676146936825528,-0.06033674841025316,0.25116470358975995,0.8101536502504443,4.53919757439076,0.20882048827390287,0.047382047057878164,0.5366286583162523,0.9296415912983143,0.58901282424819,0.2965278851033147,0.046992730758779855,-0.03757603968714913,0.1265215342515551,wbc,allergic rhinitis,0.793499997537761
BBJ wbc -> atopic dermatitis,4,0.5571048553441758,0.2937970171138285,0.05793047573214727,0.5571048553441758,0.6112423144682165,0.3620686177630299,12.985339642941685,0.00466841679736274,0.14895702922966678,1.2397413245301068,0.9043629773410511,1.68762694957835,1.1636488890016898,0.1469780012903188,-0.06534783262796842,0.3776254533486285,wbc,atopic dermatitis,0.1737914271964418
BBJ eosinophil_pct -> asthma,13,0.2558548024629844,0.10001078695697121,0.010519375658489816,0.2558548024629844,0.21673545026885715,0.2378039717809095,56.356947428793575,1.0323340504658773e-07,-0.1707982536643601,0.4670583843622442,0.7145969312529723,0.24449252975286576,0.22466259589228385,0.2764779604978469,0.0063756309333431035,0.6113469607121583,eosinophil_pct,asthma,0.0631162539509389
BBJ eosinophil_pct -> allergic rhinitis,13,0.29354237859081345,0.12595625404579114,0.019779183204994055,0.29354237859081345,0.1462855082543209,0.044787989790319616,16.18618066682234,0.18285670282602262,0.049816481437938424,0.26577751503191516,0.8513181878304035,0.28747367599894375,0.15237446834509796,0.05921060982024806,0.003376635717770571,0.6910750640396445,eosinophil_pct,allergic rhinitis,0.08900632442247325
BBJ eosinophil_pct -> atopic dermatitis,13,-0.7081477480560796,0.1812663397128289,9.357686421429534e-05,-0.7081477480560796,0.32070982849693774,0.027239829195138787,37.563967383467634,0.0001808995902621291,-0.520370612930614,0.46672256444432175,0.26487341904040185,-0.6849169259177892,0.3289684114867219,0.03734116662951137,-0.012847648598150904,0.4874108710981533,eosinophil_pct,atopic dermatitis,0.0008421917779286581
BBJ lymphocyte_pct -> asthma,3,-0.47717968978478603,0.3271591042965511,0.14468750691153942,-0.47717968978478603,0.6351682997591991,0.45249321028039846,7.538580984733238,0.023068424705682267,-0.2013547986893657,1.2788059692392977,0.8748860207865148,0.13632889385606717,1.0341835426148949,0.8951245106022614,0.02619786880996699,0.5683298052963195,lymphocyte_pct,asthma,0.3255468905509637
BBJ lymphocyte_pct -> allergic rhinitis,3,-0.3619093003982108,0.41175137508470644,0.3794278213679194,-0.3619093003982108,0.41175137508470644,0.3794278213679194,0.004849446070391048,0.9975782142312044,-0.37206349399564553,0.0371845764850142,0.0,-0.3505617063765252,0.038922764022686004,0.0,0.0004886213799891795,0.7579339160053965,lymphocyte_pct,allergic rhinitis,0.5691417320518791
BBJ lymphocyte_pct -> atopic dermatitis,3,1.2060562215929522,0.5929876237487374,0.04196530253543518,1.2060562215929522,0.6080351089856386,0.04730819674264053,2.1027907158855634,0.3494498012036187,0.874660481812345,1.227761109119719,0.47621536706909895,1.100367682490413,1.247416806995347,0.377713491850578,-0.0045509979131003984,0.926321170303828,lymphocyte_pct,atopic dermatitis,0.15107508912756665
BBJ neutrophil_pct -> asthma,6,0.2067947194560871,0.14125262167466016,0.14319224357393212,0.2067947194560871,0.222663811943903,0.3530286629648769,12.424423593216924,0.029412978063383388,0.12558472809997911,0.1656744820423503,0.44843844166376723,0.20286492997301314,0.24875590171995132,0.41477583212442903,-0.002028731747616124,0.8608330231966742,neutrophil_pct,asthma,0.3255468905509637
BBJ neutrophil_pct -> allergic rhinitis,6,0.049449648866259806,0.17847470360344478,0.7817278078712682,0.049449648866259806,0.21118807226811984,0.8148686708711312,7.000925198690162,0.22057150883119514,0.03140436910292043,0.12083302646601636,0.7949417697527901,0.03582683467598912,0.2248022193197805,0.873377005421631,-0.006556944725221143,0.5394603655028115,neutrophil_pct,allergic rhinitis,0.793499997537761
BBJ neutrophil_pct -> atopic dermatitis,6,0.27885738531816234,0.2572645527194909,0.27839477052685613,0.27885738531816234,0.5504758424269174,0.6124529444206201,22.89215258597401,0.00035397283167504234,-0.05992564796467746,0.3804933280469163,0.8748550561938073,0.2544338926570473,0.6030164648437297,0.6730722921353411,-0.011764000203905436,0.6771614707099396,neutrophil_pct,atopic dermatitis,0.48760555841503356
BBJ monocyte_pct -> asthma,12,0.031184000386142104,0.11347559236518158,0.7834637529019681,0.031184000386142104,0.11347559236518158,0.7834637529019681,4.679624733393249,0.9456843837266599,-0.014927277561049812,0.07425975673146434,0.8406873446633183,0.047012992899644,0.07961479539682643,0.5548516451464924,0.0022889281849422082,0.5214197656046038,monocyte_pct,asthma,0.793499997537761
BBJ monocyte_pct -> allergic rhinitis,12,-0.14901017792490107,0.1431726787122095,0.29798117458696494,-0.14901017792490107,0.1431726787122095,0.29798117458696494,7.7429542038669,0.7361278215631097,-0.17566582971410688,0.12169083604256298,0.1488678572608666,-0.14124593996655488,0.13183859696576808,0.28400983869304053,0.001118362026562849,0.8485861524658388,monocyte_pct,allergic rhinitis,0.48760555841503356
BBJ monocyte_pct -> atopic dermatitis,12,-0.2718811800422608,0.20627752844654165,0.18749164313487698,-0.2718811800422608,0.20627752844654165,0.18749164313487698,9.03223679914506,0.6189166109255592,0.0031459546278741015,0.33264564646096556,0.9924542189696193,-0.2159677083531371,0.1968224035625705,0.2725225160455651,0.008089449712537024,0.3653658128585019,monocyte_pct,atopic dermatitis,0.37498328626975397
BBJ crp -> asthma,9,-0.0417465021530688,0.11607794095671208,0.7191148752404346,-0.0417465021530688,0.19370648675255497,0.8293664275790296,22.278139766257603,0.00442585221489733,-0.08810948962065412,0.24190918966265207,0.7156896449455856,-0.044874418147363614,0.19927960549812954,0.8218367626503198,0.007309693658640624,0.47784687189276187,crp,asthma,0.793499997537761
BBJ crp -> allergic rhinitis,9,0.043349332209574674,0.14693069105656267,0.7679690365958423,0.043349332209574674,0.2048296098483792,0.8323909723608636,15.547136805718134,0.04934012641773999,-0.18745145304543373,0.35481967030273454,0.5972906989519036,0.04716665478951277,0.20825090473438218,0.8208206819097448,-0.008771643645017209,0.4173086927419024,crp,allergic rhinitis,0.793499997537761
BBJ crp -> atopic dermatitis,9,-0.05531076104312128,0.21129654905069534,0.793499997537761,-0.05531076104312128,0.35429859539518804,0.8759436301852528,22.492826845341796,0.004080235389026132,0.003666101219899951,0.5916230516595686,0.995055792986199,-0.06058430259878029,0.3657656077258316,0.8684426607500768,0.01272269657706699,0.49853214386767236,crp,atopic dermatitis,0.793499997537761
