gene,n_donors,mean_detect_frac,raw_rho,raw_p,partial_r_adj_nGenes,partial_p_adj_nGenes,robust
IL4,12,0.00076,0.116,0.7196,0.608,0.0358,False
STAT6,12,0.18686,0.726,0.0075,0.598,0.04,False
IL5,12,0.00264,-0.137,0.6713,0.562,0.0574,False
GATA3,12,0.36995,0.298,0.3464,-0.479,0.1155,False
IL18,12,0.01208,0.364,0.2449,0.467,0.126,False
TSLP,12,0.00227,0.445,0.1471,0.374,0.2314,False
CD3D,12,0.79539,0.617,0.0326,0.221,0.4899,False
IL13,12,0.00038,0.088,0.7865,0.134,0.6786,False
FOXP3,12,0.71687,0.293,0.3549,-0.132,0.6818,False
IL6,12,0.00076,0.642,0.0244,0.123,0.7042,False
IL2RA,12,0.51793,0.487,0.1085,0.1,0.756,False
TNFSF14,12,0.02869,0.668,0.0176,0.097,0.7642,False
IL1RL1,12,0.01246,-0.323,0.3052,-0.035,0.9133,False
IL33,12,0.00076,-0.011,0.9735,-0.016,0.9595,False
