cluster,category,item,value,p,fdr,se,or,n_snps
0,component_mean_z,crp,0.07484236992809633,,,,,
0,component_mean_z,wbc,-0.30268980061458317,,,,,
0,component_mean_z,neutrophil_pct,-0.3355502795096762,,,,,
0,component_mean_z,lymphocyte_pct,0.1649230316947806,,,,,
0,component_mean_z,monocyte_pct,-0.04575466309370691,,,,,
0,component_mean_z,eosinophil_pct,0.825828694876237,,,,,
1,component_mean_z,crp,-0.041163303460452855,,,,,
1,component_mean_z,wbc,0.16647939033802073,,,,,
1,component_mean_z,neutrophil_pct,0.18455265373032187,,,,,
1,component_mean_z,lymphocyte_pct,-0.09070766743212928,,,,,
1,component_mean_z,monocyte_pct,0.025165064701538817,,,,,
1,component_mean_z,eosinophil_pct,-0.45420578218193036,,,,,
0,nearest_gene_top10,TOMM40,3.0,,,,,
0,nearest_gene_top10,RNY4P18,1.0,,,,,
0,nearest_gene_top10,C12orf43,1.0,,,,,
0,nearest_gene_top10,KLF3,1.0,,,,,
0,nearest_gene_top10,KLF3-AS1,1.0,,,,,
0,nearest_gene_top10,TGFBR3,1.0,,,,,
0,nearest_gene_top10,CTB-129P6.4,1.0,,,,,
0,nearest_gene_top10,GCKR,1.0,,,,,
0,nearest_gene_top10,CCDC26,1.0,,,,,
0,nearest_gene_top10,RP11-542M13.6,1.0,,,,,
1,nearest_gene_top10,TOMM40,7.0,,,,,
1,nearest_gene_top10,EPS15L1,3.0,,,,,
1,nearest_gene_top10,TGFBR3,2.0,,,,,
1,nearest_gene_top10,CTB-129P6.4,2.0,,,,,
1,nearest_gene_top10,NECTIN2,2.0,,,,,
1,nearest_gene_top10,IRF8,2.0,,,,,
1,nearest_gene_top10,RP11-419N10.5,1.0,,,,,
1,nearest_gene_top10,CTB-129P6.7,1.0,,,,,
1,nearest_gene_top10,LTBR,1.0,,,,,
1,nearest_gene_top10,THADA,1.0,,,,,
0,dice_eqtl_enrichment,B_CELL_NAIVE,2.0,0.6132320227691896,0.8127245447872012,,,
0,dice_eqtl_enrichment,CD4_NAIVE,3.0,0.662219999456238,0.8127245447872012,,,
0,dice_eqtl_enrichment,CD4_STIM,1.0,1.0,1.0,,,
0,dice_eqtl_enrichment,CD8_NAIVE,2.0,0.6132320227691896,0.8127245447872012,,,
0,dice_eqtl_enrichment,CD8_STIM,2.0,0.28617665644313606,0.8127245447872012,,,
0,dice_eqtl_enrichment,M2,2.0,0.28617665644313606,0.8127245447872012,,,
0,dice_eqtl_enrichment,MONOCYTES,2.0,0.28617665644313606,0.8127245447872012,,,
0,dice_eqtl_enrichment,NK,2.0,0.28617665644313606,0.8127245447872012,,,
0,dice_eqtl_enrichment,TFH,3.0,0.3427117240880892,0.8127245447872012,,,
0,dice_eqtl_enrichment,TH1,2.0,0.6132320227691896,0.8127245447872012,,,
0,dice_eqtl_enrichment,TH17,4.0,0.1808341156403624,0.8127245447872012,,,
0,dice_eqtl_enrichment,TH2,3.0,0.662219999456238,0.8127245447872012,,,
0,dice_eqtl_enrichment,THSTAR,3.0,0.12613473483038698,0.8127245447872012,,,
0,dice_eqtl_enrichment,TREG_MEM,3.0,0.3427117240880892,0.8127245447872012,,,
0,dice_eqtl_enrichment,TREG_NAIVE,3.0,0.3427117240880892,0.8127245447872012,,,
1,dice_eqtl_enrichment,B_CELL_NAIVE,2.0,0.6132320227691898,0.8127245447872012,,,
1,dice_eqtl_enrichment,CD4_NAIVE,3.0,0.662219999456238,0.8127245447872012,,,
1,dice_eqtl_enrichment,CD4_STIM,3.0,1.0,1.0,,,
1,dice_eqtl_enrichment,CD8_NAIVE,2.0,0.6132320227691898,0.8127245447872012,,,
1,dice_eqtl_enrichment,CD8_STIM,1.0,0.28617665644313606,0.8127245447872012,,,
1,dice_eqtl_enrichment,M2,1.0,0.28617665644313606,0.8127245447872012,,,
1,dice_eqtl_enrichment,MONOCYTES,1.0,0.28617665644313606,0.8127245447872012,,,
1,dice_eqtl_enrichment,NK,1.0,0.28617665644313606,0.8127245447872012,,,
1,dice_eqtl_enrichment,TFH,2.0,0.34271172408808914,0.8127245447872012,,,
1,dice_eqtl_enrichment,TH1,2.0,0.6132320227691898,0.8127245447872012,,,
1,dice_eqtl_enrichment,TH17,2.0,0.1808341156403624,0.8127245447872012,,,
1,dice_eqtl_enrichment,TH2,3.0,0.662219999456238,0.8127245447872012,,,
1,dice_eqtl_enrichment,THSTAR,1.0,0.12613473483038698,0.8127245447872012,,,
