cycle,outcome,index,or_,lo,hi,p,n,beta
J,self-reported allergy,idx_pub,1.312214004140804,1.2015042653782828,1.4331248271691446,1.5208465095636342e-09,4903,
J,self-reported allergy,idx_equal,1.5682057497655606,1.4396184754571741,1.7082784887272189,6.502332634731923e-25,4903,
J,self-reported allergy,idx_noeos,1.6277613922311394,1.4532679000292386,1.8232062718683524,3.716580888123635e-17,4903,
J,self-reported allergy,idx_eosonly,1.0687173944010628,0.981897268951398,1.1632142233322897,0.12419671179931335,5024,
D,log total IgE,idx_pub,,0.15154589471580632,0.26759955328571744,1.4536792902202248e-12,4451,0.20957272400076188
D,high IgE,idx_pub,1.3157445557882486,1.20263179169681,1.439496068571299,2.1883903389835427e-09,4457,
D,log total IgE,idx_equal,,0.12754159383721234,0.25312377632722516,2.830082799019103e-09,4451,0.19033268508221876
D,high IgE,idx_equal,1.303721261870385,1.1948821181528606,1.4224743201282628,2.4745642555289024e-09,4457,
D,log total IgE,idx_noeos,,-0.05641264846311882,0.06600380577501966,0.8779541169248554,4451,0.004795578655950417
D,high IgE,idx_noeos,1.036043485513352,0.945955078376333,1.1347114978409427,0.44551398720689106,4457,
D,log total IgE,idx_eosonly,,0.28438102119742215,0.41790305244412684,6.417466545190506e-25,4458,0.3511420368207745
D,high IgE,idx_eosonly,1.5345333290604874,1.401578455623652,1.6801004100406671,2.020108462404321e-20,4486,
