exposure,outcome,rg_independent,se_independent,z,p
Frailty,ALLERG_ASTHMA,0.458481,0.038021,12.058568,1.747958e-33
GrimAge,ALLERG_ASTHMA,0.166996,0.071582,2.332922,0.019652
Hannum,ALLERG_ASTHMA,0.117546,0.066063,1.779293,0.075192
PhenoAge,ALLERG_ASTHMA,0.119459,0.067532,1.768915,0.076908
Frailty,ALLERG_RHINITIS,0.354849,0.046426,7.643366,2.116156e-14
GrimAge,ALLERG_RHINITIS,-0.004528,0.086854,-0.052131,0.958424
Hannum,ALLERG_RHINITIS,0.038893,0.08597,0.452407,0.650976
PhenoAge,ALLERG_RHINITIS,-0.014554,0.082792,-0.175795,0.860455
Frailty,L12_ATOPIC,0.250524,0.032992,7.593393,3.116354e-14
GrimAge,L12_ATOPIC,0.090611,0.073199,1.23787,0.215764
Hannum,L12_ATOPIC,0.110542,0.070774,1.561894,0.118313
PhenoAge,L12_ATOPIC,0.202576,0.071685,2.825903,0.004715
