outcome,clock,source,rg_frailty,se_frailty,rg_clock,se_clock,clock_rg_hi95,frailty_rg_lo95,ci_nonoverlap,diff,se_diff_rho0,z_rho0,p_rho0,se_diff_rho0p5,p_rho0p5,q_bh_rho0
ALLERG_ASTHMA,GrimAge,in_house_ST60,0.4581123063935907,0.0381960634575775,0.164575690627247,0.0704653522704339,0.30268778107729744,0.3832480220167388,True,0.2935366157663437,0.08015176313875842,3.6622602457063143,0.000249999692681063,0.06109669440624088,1.5516982670072132e-06,0.00042857090173896515
ALLERG_ASTHMA,Hannum,in_house_ST60,0.4581123063935907,0.0381960634575775,0.1133273047363244,0.0648452058680512,0.24042390823770476,0.3832480220167388,True,0.3447850016572663,0.07525848781184238,4.581343735198095,4.619977527918233e-06,0.05645359500925932,1.0126367557858847e-09,2.7719865167509398e-05
ALLERG_ASTHMA,IEAA,in_house_ST60,0.4581123063935907,0.0381960634575775,0.0826294808356408,0.0595311217022257,0.19931047937200316,0.3832480220167388,True,0.3754828255579499,0.07073113681244275,5.308593110183073,1.1047464601964835e-07,0.0522402068577596,6.592980328672162e-13,1.3256957522357802e-06
ALLERG_ASTHMA,PhenoAge,in_house_ST60,0.4581123063935907,0.0381960634575775,0.0824863412370071,0.0780436806731136,0.23545195535630975,0.3832480220167388,True,0.3756259651565836,0.08688932820929283,4.323039122270602,1.5389443076752955e-05,0.06759285448336275,2.7416087999926193e-08,4.616832923025887e-05
ALLERG_RHINITIS,GrimAge,in_house_ST60,0.3531147710661577,0.045763109795384,-0.0035764599577944,0.0850016561333332,0.16302678606353865,0.26341907586720503,True,0.35669123102395206,0.09653778412390557,3.6948354912118284,0.00022002919861673756,0.07368584423846,1.293811118313864e-06,0.00042857090173896515
ALLERG_RHINITIS,Hannum,in_house_ST60,0.3531147710661577,0.045763109795384,0.0358809173785717,0.0840654446615635,0.20064918891523614,0.26341907586720503,True,0.317233853687586,0.09571447750623081,3.3143769046530576,0.0009184761047895335,0.07289831980399725,1.3506712153617336e-05,0.0013777141571843002
ALLERG_RHINITIS,IEAA,in_house_ST60,0.3531147710661577,0.045763109795384,-0.0315181705443242,0.0726216194369475,0.1108202035520929,0.26341907586720503,True,0.3846329416104819,0.08583799757560286,4.480916988676393,7.432301691967743e-06,0.06359851164907541,1.4681038970214737e-09,2.9729206767870972e-05
ALLERG_RHINITIS,PhenoAge,in_house_ST60,0.3531147710661577,0.045763109795384,-0.0452502409275987,0.092942407591602,0.13691687795194118,0.26341907586720503,True,0.3983650119937564,0.10359803737073327,3.84529496990544,0.00012040750752721543,0.08049360063884602,7.458535765729433e-07,0.000288978018065317
L12_ATOPIC,GrimAge,in_house_ST60,0.2502684670316468,0.0331910989101886,0.0908989004846707,0.0726627896720333,0.23331796824185597,0.18521391316767713,False,0.1593695665469761,0.07988447940487609,1.9950003772228164,0.046042838722201614,0.06300612835822707,0.01142480887185635,0.061390451629602154
L12_ATOPIC,Hannum,in_house_ST60,0.2502684670316468,0.0331910989101886,0.116237722253839,0.0706656213638682,0.2547423401270207,0.18521391316767713,False,0.1340307447778078,0.07807226837749438,1.716752280460758,0.0860244433230509,0.061235687808413014,0.028613670058588798,0.10322933198766107
