exposure,outcome,n_snp,median_r2_exposure,median_r2_outcome,sumR2_ratio,n_correct_direction,prop_correct,binom_p,n_steiger_sig_correct,n_steiger_sig_wrong
Frailty,ALLERG_ASTHMA,71,0.00021559183443180003,0.0002825655082128717,0.39106068399829913,34,0.4788732394366197,0.8125886494061619,2,10
GrimAge,ALLERG_ASTHMA,5,0.0144367247448398,0.0002425855114906745,13.614298896894832,5,1.0,0.0625,5,0
Hannum,ALLERG_ASTHMA,56,0.029256985804817587,4.724185027852495e-05,223.97670192653524,56,1.0,2.7755575615628914e-17,56,0
IEAA,ALLERG_ASTHMA,133,0.06930070473387501,0.00021141916874701245,294.9047287830103,133,1.0,1.8367099231598242e-40,133,0
PhenoAge,ALLERG_ASTHMA,89,0.06360905938334215,0.00021141916874701245,282.1106168730458,89,1.0,3.2311742677852644e-27,89,0
composite_index,ALLERG_ASTHMA,94,4.3984395344583945e-05,0.00017558330977699883,0.2374422865651545,35,0.3723404255319149,0.017209595585930455,3,19
Frailty,ALLERG_RHINITIS,71,0.00021559183443180003,4.983177615670846e-05,1.389408862178681,57,0.8028169014084507,2.6659171387086086e-07,0,1
GrimAge,ALLERG_RHINITIS,5,0.0144367247448398,0.0002372308522332248,38.558478739248116,5,1.0,0.0625,5,0
Hannum,ALLERG_RHINITIS,56,0.029256985804817587,5.6751209869380066e-05,202.82678419119642,56,1.0,2.7755575615628914e-17,56,0
IEAA,ALLERG_RHINITIS,133,0.06930070473387501,2.1998978482305316e-06,1225.0808440136477,133,1.0,1.8367099231598242e-40,133,0
PhenoAge,ALLERG_RHINITIS,89,0.06360905938334215,1.3421851650869673e-06,3953.379649210177,89,1.0,3.2311742677852644e-27,89,0
composite_index,ALLERG_RHINITIS,94,4.3984395344583945e-05,9.602596658690233e-05,0.4579083577097344,29,0.30851063829787234,0.000261683232376927,5,17
Frailty,L12_ATOPIC,71,0.00021559183443180003,6.941278048903184e-05,1.4989237827572912,51,0.7183098591549296,0.000303163413558493,19,3
GrimAge,L12_ATOPIC,5,0.0144367247448398,0.0003474033862652553,70.14449861856647,5,1.0,0.0625,5,0
Hannum,L12_ATOPIC,56,0.029256985804817587,4.274986618343803e-06,1390.8424058550636,56,1.0,2.7755575615628914e-17,56,0
IEAA,L12_ATOPIC,133,0.06930070473387501,3.9556592196646e-06,2572.359480639485,133,1.0,1.8367099231598242e-40,133,0
PhenoAge,L12_ATOPIC,89,0.06360905938334215,3.9504746635591085e-06,3673.1225741843823,89,1.0,3.2311742677852644e-27,89,0
composite_index,L12_ATOPIC,94,4.3984395344583945e-05,6.83661409210324e-05,0.5828131800253651,32,0.3404255319148936,0.002587308956921308,9,15
