trait1,trait2,ld_reference,n_valid,rg,rg_se,z,p,q_bh_mhc_free_family,h2_trait2,h2_trait2_se,h2_int,gcov_int
GrimAge,ALLERG_ASTHMA,canonical_bulik_ldsc_mhc_free,1137100,0.1976,0.0764,2.5856,0.0097,0.0342,0.0438,0.0048,1.0835,
GrimAge,ALLERG_RHINITIS,canonical_bulik_ldsc_mhc_free,1137124,-0.022,0.0932,-0.2364,0.8131,0.8734285714285714,0.0159,0.002,1.0606,
GrimAge,L12_ATOPIC,canonical_bulik_ldsc_mhc_free,1137128,0.0508,0.074,0.6868,0.4922,0.6711818181818182,0.0293,0.0047,1.1187,0.0025
Hannum,ALLERG_ASTHMA,canonical_bulik_ldsc_mhc_free,1137360,0.1318,0.0716,1.8419,0.0655,0.14035714285714287,0.0439,0.0048,1.0833,
Hannum,ALLERG_RHINITIS,canonical_bulik_ldsc_mhc_free,1137383,0.0356,0.0895,0.3977,0.6909,0.863625,0.0158,0.002,1.0615,
Hannum,L12_ATOPIC,canonical_bulik_ldsc_mhc_free,1137386,0.0844,0.0704,1.1985,0.2307,0.34604999999999997,0.0293,0.0047,1.1186,-0.004
IEAA,ALLERG_ASTHMA,canonical_bulik_ldsc_mhc_free,1137104,0.1032,0.0641,1.6108,0.1072,0.17866666666666667,0.0438,0.0048,1.0835,
IEAA,ALLERG_RHINITIS,canonical_bulik_ldsc_mhc_free,1137128,-0.0003,0.0741,-0.0036,0.9971,0.9971,0.0159,0.002,1.0605,
IEAA,L12_ATOPIC,canonical_bulik_ldsc_mhc_free,1137132,0.1215,0.0547,2.2205,0.0264,0.066,0.0292,0.0047,1.1187,-0.007
PhenoAge,ALLERG_ASTHMA,canonical_bulik_ldsc_mhc_free,1137104,0.1193,0.0727,1.6407,0.1009,0.17866666666666667,0.0438,0.0048,1.0835,
PhenoAge,ALLERG_RHINITIS,canonical_bulik_ldsc_mhc_free,1137128,-0.0205,0.0877,-0.2337,0.8152,0.8734285714285714,0.0159,0.002,1.0606,
PhenoAge,L12_ATOPIC,canonical_bulik_ldsc_mhc_free,1137132,0.188,0.0743,2.5291,0.0114,0.0342,0.0293,0.0047,1.1183,-0.0026
Frailty,ALLERG_ASTHMA,canonical_bulik_ldsc_mhc_free,1140501,0.4672,0.0393,11.8941,1.2705e-32,1.9057499999999998e-31,0.0445,0.0048,1.0803,
Frailty,ALLERG_RHINITIS,canonical_bulik_ldsc_mhc_free,1140538,0.3613,0.0463,7.8116,5.6461e-15,4.234575e-14,0.016,0.0019,1.0598,
Frailty,L12_ATOPIC,canonical_bulik_ldsc_mhc_free,1140540,0.2464,0.0337,7.3203,2.4749e-13,1.23745e-12,0.0289,0.0041,1.1218,-0.0061
Frailty,ALLERG_ASTHMA,canonical_bulik_ldsc_mhc_included,1143177,0.4918,0.0434,11.3373,8.5701e-30,,0.0371,0.0044,1.105,
Frailty,ALLERG_RHINITIS,canonical_bulik_ldsc_mhc_included,1143214,0.3798,0.0527,7.202,5.9328e-13,,0.0132,0.0017,1.0732,
Frailty,L12_ATOPIC,canonical_bulik_ldsc_mhc_included,1143216,0.2792,0.0389,7.1754,7.2083e-13,,0.0243,0.0041,1.1448,0.0033
