outcome,clock,source,rg_frailty,se_frailty,rg_clock,se_clock,clock_rg_hi95,frailty_rg_lo95,ci_nonoverlap,diff,se_diff_rho0,z_rho0,p_rho0,se_diff_rho0p5,p_rho0p5,q_bh_rho0,q_bh_rho0p5
ALLERG_ASTHMA,GrimAge,canonical_bulik_ldsc,0.4672,0.0393,0.1976,0.0764,0.347344,0.390172,True,0.2696,0.08591536533123746,3.1379718745370653,0.0017012119998910597,0.0661734841156184,4.618480954206387e-05,0.0025518179998365895,6.92772143130958e-05
ALLERG_ASTHMA,Hannum,canonical_bulik_ldsc,0.4672,0.0393,0.1318,0.0716,0.272136,0.390172,True,0.33540000000000003,0.08167649600711333,4.106444526841474,4.017958990578847e-05,0.0621061188611879,6.647984230682382e-08,0.00012053876971736542,1.9943952692047146e-07
ALLERG_ASTHMA,IEAA,canonical_bulik_ldsc,0.4672,0.0393,0.1032,0.0641,0.22883599999999998,0.390172,True,0.364,0.07518842996099866,4.84117037938965,1.2907664105075348e-06,0.0559836583299091,7.931321422049933e-11,1.5489196926090418e-05,9.51758570645992e-10
ALLERG_ASTHMA,PhenoAge,canonical_bulik_ldsc,0.4672,0.0393,0.1193,0.0727,0.261792,0.390172,True,0.3479,0.08264248302174856,4.209699264583387,2.5571083020845095e-05,0.063029120254054,3.396351669494774e-08,0.00012053876971736542,1.3585406677979097e-07
ALLERG_RHINITIS,GrimAge,canonical_bulik_ldsc,0.3613,0.0463,-0.022,0.0932,0.160672,0.270552,True,0.38330000000000003,0.10406694960456947,3.683205873300333,0.00023031900048913173,0.08071412515786813,2.045674936966934e-06,0.00046063800097826345,4.091349873933868e-06
ALLERG_RHINITIS,Hannum,canonical_bulik_ldsc,0.3613,0.0463,0.0356,0.0895,0.21101999999999999,0.270552,True,0.3257,0.10076676039250244,3.2322166429817436,0.0012283389152816146,0.07752477023506744,2.6545949914078343e-05,0.0021057238547684824,4.550734270984859e-05
ALLERG_RHINITIS,IEAA,canonical_bulik_ldsc,0.3613,0.0463,-0.0003,0.0741,0.144936,0.270552,True,0.36160000000000003,0.08737562589189275,4.1384539030071945,3.49654104499027e-05,0.06483571546609168,2.4445876405583145e-08,0.00012053876971736542,1.3585406677979097e-07
ALLERG_RHINITIS,PhenoAge,canonical_bulik_ldsc,0.3613,0.0463,-0.0205,0.0877,0.151392,0.270552,True,0.38180000000000003,0.09917146767089817,3.849897646639741,0.00011816719479596162,0.0759899335438583,5.051412067445575e-07,0.00028360126751030793,1.2123388961869381e-06
L12_ATOPIC,GrimAge,canonical_bulik_ldsc,0.2464,0.0337,0.0508,0.074,0.19584000000000001,0.180348,False,0.1956,0.08131229919268056,2.40554014511998,0.016148577587176947,0.06417078774645048,0.0023028107407906282,0.021531436782902598,0.003070414321054171
L12_ATOPIC,Hannum,canonical_bulik_ldsc,0.2464,0.0337,0.0844,0.0704,0.222384,0.180348,False,0.162,0.07805030429152728,2.075584476838303,0.037932398364822886,0.06098663788076861,0.007899871149244092,0.045518878037787466,0.00947984537909291
L12_ATOPIC,IEAA,canonical_bulik_ldsc,0.2464,0.0337,0.1215,0.0547,0.228712,0.180348,False,0.12490000000000001,0.06424780151880685,1.94403539183265,0.05189118334709682,0.04779529265523959,0.008969142903295368,0.05660856365137835,0.009784519530867675
L12_ATOPIC,PhenoAge,canonical_bulik_ldsc,0.2464,0.0337,0.188,0.0743,0.33362800000000004,0.180348,False,0.05840000000000001,0.0815854153632866,0.7158142143415498,0.4741060742386573,0.06443810984192508,0.3647792119613474,0.4741060742386573,0.3647792119613474
