gene,donor,age,n_cells,n_positive,detection
IL4,TSP1,59.0,1,0,0.0
IL4,TSP10,33.0,74,2,0.02702702702702703
IL4,TSP14,59.0,1042,91,0.0873320537428023
IL4,TSP2,61.0,87,8,0.09195402298850575
IL4,TSP20,56.0,224,17,0.07589285714285714
IL4,TSP21,45.0,217,9,0.041474654377880185
IL4,TSP25,60.0,96,7,0.07291666666666667
IL4,TSP26,37.0,36,0,0.0
IL4,TSP27,56.0,563,11,0.019538188277087035
IL4,TSP4,38.0,3,0,0.0
IL4,TSP6,67.0,11,0,0.0
IL4,TSP7,69.0,295,28,0.09491525423728814
IL13,TSP1,59.0,1,0,0.0
IL13,TSP10,33.0,74,0,0.0
IL13,TSP14,59.0,1042,0,0.0
IL13,TSP2,61.0,87,13,0.14942528735632185
IL13,TSP20,56.0,224,0,0.0
IL13,TSP21,45.0,217,0,0.0
IL13,TSP25,60.0,96,0,0.0
IL13,TSP26,37.0,36,0,0.0
IL13,TSP27,56.0,563,0,0.0
IL13,TSP4,38.0,3,0,0.0
IL13,TSP6,67.0,11,0,0.0
IL13,TSP7,69.0,295,4,0.013559322033898305
GATA3,TSP1,59.0,1,0,0.0
GATA3,TSP10,33.0,74,0,0.0
GATA3,TSP14,59.0,1042,4,0.003838771593090211
GATA3,TSP2,61.0,87,0,0.0
GATA3,TSP20,56.0,224,2,0.008928571428571428
GATA3,TSP21,45.0,217,1,0.004608294930875576
GATA3,TSP25,60.0,96,0,0.0
GATA3,TSP26,37.0,36,0,0.0
GATA3,TSP27,56.0,563,3,0.0053285968028419185
GATA3,TSP4,38.0,3,0,0.0
GATA3,TSP6,67.0,11,0,0.0
GATA3,TSP7,69.0,295,0,0.0
FOXP3,TSP1,59.0,1,1,1.0
FOXP3,TSP10,33.0,74,31,0.4189189189189189
FOXP3,TSP14,59.0,1042,190,0.18234165067178504
FOXP3,TSP2,61.0,87,7,0.08045977011494253
FOXP3,TSP20,56.0,224,36,0.16071428571428573
FOXP3,TSP21,45.0,217,38,0.17511520737327188
FOXP3,TSP25,60.0,96,22,0.22916666666666666
FOXP3,TSP26,37.0,36,3,0.08333333333333333
FOXP3,TSP27,56.0,563,46,0.08170515097690942
FOXP3,TSP4,38.0,3,2,0.6666666666666666
FOXP3,TSP6,67.0,11,4,0.36363636363636365
FOXP3,TSP7,69.0,295,64,0.21694915254237288
IL5,TSP1,59.0,1,0,0.0
IL5,TSP10,33.0,74,28,0.3783783783783784
IL5,TSP14,59.0,1042,317,0.30422264875239924
IL5,TSP2,61.0,87,25,0.28735632183908044
IL5,TSP20,56.0,224,83,0.3705357142857143
IL5,TSP21,45.0,217,71,0.3271889400921659
IL5,TSP25,60.0,96,30,0.3125
IL5,TSP26,37.0,36,9,0.25
IL5,TSP27,56.0,563,169,0.30017761989342806
IL5,TSP4,38.0,3,0,0.0
IL5,TSP6,67.0,11,8,0.7272727272727273
IL5,TSP7,69.0,295,161,0.5457627118644067
