gene,cell_type,n_cells,n_expressing,pct_expressing,total_counts
IL18,common myeloid progenitor,456,6,1.3157894736842106,9.0
IL18,myeloid cell,81,1,1.2345679012345678,199.0
IL18,plasmacytoid dendritic cell,99,1,1.0101010101010102,1.0
IL18,microglial cell,410,3,0.7317073170731707,3.0
IL18,"naive thymus-derived CD8-positive, alpha-beta T cell",1056,4,0.3787878787878788,4.0
IL18,classical monocyte,18200,62,0.34065934065934067,67.0
IL18,monocyte,25753,80,0.3106434201840562,218.0
IL18,innate lymphoid cell,971,3,0.30895983522142123,6.0
IL18,colon macrophage,328,1,0.3048780487804878,1.0
IL18,intermediate monocyte,5478,16,0.29207740051113545,16.0
IL18,plasma cell,27348,75,0.27424308907415534,973.0
IL18,"CD8-positive, alpha-beta thymocyte",731,2,0.27359781121751026,8073.0
IL18,non-classical monocyte,1284,3,0.2336448598130841,4.0
IL18,macrophage,69072,156,0.22585128561501042,825.0
IL18,mast cell,6222,12,0.19286403085824494,1228.0
IL18,hematopoietic precursor cell,2140,4,0.18691588785046728,4.0
IL18,tissue-resident macrophage,1355,2,0.14760147601476015,2.0
IL18,"CD4-positive, alpha-beta thymocyte",4685,6,0.128068303094984,78.0
IL18,B cell,114495,143,0.12489628368051006,1746.0
IL18,natural killer cell,14231,16,0.11243060923336379,16.0
IL18,"CD8-positive, alpha-beta T cell",76277,81,0.10619190581695662,1561.0
IL18,erythroid progenitor cell,971,1,0.10298661174047374,1.0
IL18,mature NK T cell,5394,5,0.09269558769002595,5.0
IL18,"CD4-positive, alpha-beta T cell",97130,82,0.0844229383300731,123.0
IL18,mononuclear phagocyte,5336,4,0.07496251874062969,4.0
IL18,neutrophil,69539,39,0.056083636520513666,42.0
IL18,"naive thymus-derived CD4-positive, alpha-beta T cell",9827,5,0.05088022794342119,7.0
IL18,gamma-delta T cell,1977,1,0.05058168942842691,1.0
IL18,regulatory T cell,2649,1,0.03775009437523594,1.0
IL18,T cell,6290,1,0.01589825119236884,1.0
IL18,erythrocyte,14611,2,0.013688317021422217,2.0
IL18,Langerhans cell,76,0,0.0,0.0
IL18,T follicular helper cell,6,0,0.0,0.0
IL18,"activated CD4-positive, alpha-beta T cell",572,0,0.0,0.0
IL18,"activated CD8-positive, alpha-beta T cell",1147,0,0.0,0.0
IL18,basophil,1669,0,0.0,0.0
IL18,erythroid lineage cell,2,0,0.0,0.0
IL18,granulocyte,769,0,0.0,0.0
IL18,hematopoietic cell,100,0,0.0,0.0
IL18,hematopoietic stem cell,858,0,0.0,0.0
IL18,leukocyte,200,0,0.0,0.0
IL18,myeloid dendritic cell,571,0,0.0,0.0
IL18,myeloid leukocyte,1002,0,0.0,0.0
IL18,platelet,494,0,0.0,0.0
IL18,thymocyte,455,0,0.0,0.0
IL33,common myeloid progenitor,456,369,80.92105263157895,40282.0
IL33,erythroid progenitor cell,971,636,65.4994850669413,46486.0
IL33,hematopoietic stem cell,858,457,53.26340326340326,110701.0
IL33,plasmacytoid dendritic cell,99,45,45.45454545454545,193.0
IL33,hematopoietic precursor cell,2140,850,39.7196261682243,1896.0
IL33,plasma cell,27348,9227,33.73921310516308,127559.0
IL33,macrophage,69072,22572,32.67894371091035,132045.0
IL33,myeloid dendritic cell,571,147,25.74430823117338,5558.0
IL33,tissue-resident macrophage,1355,341,25.166051660516604,448.0
IL33,intermediate monocyte,5478,1325,24.187659729828404,2390.0
IL33,B cell,114495,27426,23.95388444910258,235977.0
IL33,colon macrophage,328,78,23.78048780487805,369.0
IL33,non-classical monocyte,1284,294,22.897196261682243,1457.0
IL33,regulatory T cell,2649,592,22.348055870139675,5683.0
IL33,thymocyte,455,101,22.197802197802197,145.0
IL33,mature NK T cell,5394,1187,22.005932517612163,12168.0
IL33,"naive thymus-derived CD4-positive, alpha-beta T cell",9827,2147,21.847969878905058,33071.0
IL33,"naive thymus-derived CD8-positive, alpha-beta T cell",1056,230,21.78030303030303,280.0
IL33,monocyte,25753,5406,20.9917291189376,17593.0
IL33,classical monocyte,18200,3690,20.274725274725274,14536.0
IL33,basophil,1669,338,20.25164769322948,798.0
IL33,"CD4-positive, alpha-beta thymocyte",4685,920,19.637139807897544,10857.0
IL33,microglial cell,410,80,19.51219512195122,889.0
IL33,mononuclear phagocyte,5336,995,18.646926536731634,2588.0
IL33,natural killer cell,14231,2606,18.312135478884127,67356.0
IL33,"CD4-positive, alpha-beta T cell",97130,17582,18.10151343560177,230052.0
IL33,hematopoietic cell,100,17,17.0,21.0
IL33,innate lymphoid cell,971,163,16.786817713697218,35746.0
IL33,"CD8-positive, alpha-beta thymocyte",731,109,14.911080711354309,21337.0
IL33,"CD8-positive, alpha-beta T cell",76277,10800,14.158920775594217,139793.0
IL33,"activated CD8-positive, alpha-beta T cell",1147,141,12.292938099389712,156.0
IL33,myeloid leukocyte,1002,118,11.776447105788423,139.0
IL33,myeloid cell,81,9,11.11111111111111,687.0
IL33,leukocyte,200,21,10.5,2491.0
IL33,mast cell,6222,653,10.495017679202828,14830.0
IL33,granulocyte,769,58,7.542262678803641,4579.0
IL33,"activated CD4-positive, alpha-beta T cell",572,41,7.1678321678321675,563.0
IL33,Langerhans cell,76,5,6.578947368421052,5.0
IL33,gamma-delta T cell,1977,128,6.474456246838645,1071.0
IL33,T cell,6290,374,5.945945945945946,2867.0
IL33,erythrocyte,14611,294,2.012182602149066,691.0
IL33,neutrophil,69539,1363,1.9600511942938494,7484.0
IL33,platelet,494,5,1.0121457489878543,5.0
IL33,T follicular helper cell,6,0,0.0,0.0
IL33,erythroid lineage cell,2,0,0.0,0.0
IL4,erythroid progenitor cell,971,398,40.988671472708546,7190.0
