gene,test,rr_per_decade,ci_lo,ci_hi,p,note
IL4,equal_weight_WLS_lograte,1.9733093478272752,0.7754998924592041,5.021212536695936,0.1842072853927855,
IL4,LOO_equal_weight_minmax_beta_per_decade,1.5655333029676455,,2.624127623786048,,exp(min/max LOO beta)
IL4,large_donors_only_WLS,6.881449833092256,0.6193008885070669,76.46420776098253,0.19150647528698153,donors above median Treg total counts (n=6)
IL13,equal_weight_WLS_lograte,1.1413254852774315,0.327093942216834,3.9824151267229557,0.8399174992610294,
IL13,LOO_equal_weight_minmax_beta_per_decade,0.9091875438079953,,1.6082224517261696,,exp(min/max LOO beta)
IL13,large_donors_only_WLS,5.339373766012374,0.20583132277537913,138.5061895768533,0.3703023126884115,donors above median Treg total counts (n=6)
GATA3,equal_weight_WLS_lograte,0.682392663151488,0.30080454838632353,1.5480475585260531,0.382032892874173,
GATA3,LOO_equal_weight_minmax_beta_per_decade,0.5255726683135287,,0.8806204329499677,,exp(min/max LOO beta)
GATA3,large_donors_only_WLS,0.4233468345327097,0.14468104568777865,1.2387423760789462,0.19169216766150107,donors above median Treg total counts (n=6)
FOXP3,equal_weight_WLS_lograte,0.8173225807199835,0.4649645901292211,1.4367033858839047,0.49933294441779524,
FOXP3,LOO_equal_weight_minmax_beta_per_decade,0.6882254531867117,,1.0177534878838286,,exp(min/max LOO beta)
FOXP3,large_donors_only_WLS,1.9593572166611377,0.48068996898885474,7.9866045687570715,0.4012537984233774,donors above median Treg total counts (n=6)
IL5,equal_weight_WLS_lograte,1.721795700411643,1.1492358045074993,2.5796102264900114,0.024973862083109283,
IL5,LOO_equal_weight_minmax_beta_per_decade,1.5721214184862031,,1.9785548240207396,,exp(min/max LOO beta)
IL5,large_donors_only_WLS,2.2368738911487553,0.8250931120756003,6.064291086270165,0.18877480177251998,donors above median Treg total counts (n=6)
IL4,ambient_proxy_spearman_treg_vs_plasmacell,,,,0.044668642496620906,rho=0.587 n=12 donors
IL5,ambient_proxy_spearman_treg_vs_plasmacell,,,,0.11138981647538268,rho=0.483 n=12 donors
