gene,cell_type,n_cells,n_expressing,pct_expressing,total_counts
IL18,mesothelial cell,18,14,77.77777777777777,17.273688316345215
IL18,macrophage,16486,12407,75.2577944922965,10467.114068798488
IL18,pulmonary alveolar type 1 cell,3116,2223,71.34146341463415,2536.0261881276965
IL18,basophil,1322,910,68.83509833585477,1303.4137329161167
IL18,pulmonary ionocyte,25,17,68.0,18.408747375011444
IL18,basal cell,4015,2375,59.153175591531756,2302.4072972981958
IL18,pulmonary alveolar type 2 cell,11594,6362,54.87321028117992,3444.8953789226944
IL18,intermediate monocyte,2785,1416,50.843806104129264,1504.8313273601234
IL18,myeloid dendritic cell,33,16,48.484848484848484,17.17259225063026
IL18,lung multiciliated epithelial cell,1209,578,47.808105872622,433.2228840419557
IL18,respiratory tract goblet cell,1040,460,44.23076923076923,314.4268364548916
IL18,monocyte,506,217,42.88537549407115,253.57270285487175
IL18,non-classical monocyte,527,183,34.72485768500949,220.0488695120439
IL18,mast cell,3,1,33.333333333333336,0.8103750944137573
IL18,classical monocyte,1569,504,32.122370936902485,534.504541970673
IL18,serous cell of epithelium of bronchus,15,3,20.0,1.0170662701129913
IL18,club cell,1747,347,19.862621637092158,236.6316543892026
IL18,adventitial cell,581,93,16.006884681583475,85.65518675744534
IL18,plasmacytoid dendritic cell,19,3,15.789473684210526,2.1747710704803467
IL18,mature NK T cell,163,23,14.110429447852761,31.41723281145096
IL18,natural killer cell,1019,113,11.089303238469087,137.65304574370384
IL18,alveolar adventitial fibroblast,1113,80,7.187780772686433,67.75916688889265
IL18,"CD4-positive, alpha-beta T cell",2124,64,3.0131826741996233,71.49218386411667
IL18,bronchial smooth muscle cell,220,6,2.727272727272727,5.877671130001545
IL18,neutrophil,371,10,2.6954177897574123,14.852520167827606
IL18,B cell,663,16,2.4132730015082955,19.039239153265953
IL18,vascular associated smooth muscle cell,131,3,2.2900763358778624,3.0797133445739746
IL18,"CD8-positive, alpha-beta T cell",1898,40,2.107481559536354,48.79350411891937
IL18,pericyte,739,15,2.029769959404601,15.764164159074426
IL18,endothelial cell of artery,1754,18,1.0262257696693273,12.821362942457199
IL18,capillary endothelial cell,7243,51,0.7041281237056468,46.94478058768436
IL18,vein endothelial cell,1336,5,0.37425149700598803,3.5615711596328765
IL18,endothelial cell of lymphatic vessel,315,0,0.0,0.0
IL18,plasma cell,148,0,0.0,0.0
IL33,vein endothelial cell,1336,1025,76.72155688622755,1501.4399301223457
IL33,endothelial cell of artery,1754,1311,74.74344355758267,2287.280550841242
IL33,basal cell,4015,2505,62.39103362391034,3070.645125316689
IL33,endothelial cell of lymphatic vessel,315,120,38.095238095238095,170.32482779026031
IL33,adventitial cell,581,213,36.660929432013766,174.03452306741383
IL33,respiratory tract goblet cell,1040,312,30.0,198.45908404514194
IL33,alveolar adventitial fibroblast,1113,207,18.598382749326145,188.97072975104675
IL33,capillary endothelial cell,7243,933,12.881402733673893,1261.347515342757
IL33,lung multiciliated epithelial cell,1209,113,9.34656741108354,63.733367004897445
IL33,bronchial smooth muscle cell,220,17,7.7272727272727275,19.723915696144104
IL33,vascular associated smooth muscle cell,131,8,6.106870229007634,8.508673012256622
IL33,club cell,1747,86,4.922724670864339,68.06674453616142
IL33,pulmonary ionocyte,25,1,4.0,1.0718151330947876
IL33,pericyte,739,19,2.571041948579161,18.781092703342438
IL33,pulmonary alveolar type 2 cell,11594,193,1.6646541314473002,90.70820857398212
IL33,plasma cell,148,1,0.6756756756756757,0.028440400958061218
IL33,classical monocyte,1569,9,0.5736137667304015,7.873600870370865
IL33,neutrophil,371,2,0.5390835579514824,1.7115978002548218
IL33,basophil,1322,7,0.529500756429652,7.841672897338867
IL33,non-classical monocyte,527,2,0.3795066413662239,1.4625192880630493
IL33,intermediate monocyte,2785,10,0.3590664272890485,6.818599879741669
IL33,pulmonary alveolar type 1 cell,3116,8,0.25673940949935814,6.549705071374774
IL33,"CD4-positive, alpha-beta T cell",2124,4,0.18832391713747645,3.6792222261428833
IL33,"CD8-positive, alpha-beta T cell",1898,3,0.15806111696522657,3.1995279788970947
IL33,B cell,663,1,0.15082956259426847,1.3488694429397583
IL33,macrophage,16486,24,0.14557806623802014,16.010056428145617
IL33,natural killer cell,1019,1,0.09813542688910697,1.0159964561462402
IL33,mast cell,3,0,0.0,0.0
IL33,mature NK T cell,163,0,0.0,0.0
IL33,mesothelial cell,18,0,0.0,0.0
IL33,monocyte,506,0,0.0,0.0
IL33,myeloid dendritic cell,33,0,0.0,0.0
IL33,plasmacytoid dendritic cell,19,0,0.0,0.0
IL33,serous cell of epithelium of bronchus,15,0,0.0,0.0
IL4,lung multiciliated epithelial cell,1209,6,0.49627791563275436,1.3313301801681519
IL4,pulmonary alveolar type 1 cell,3116,11,0.35301668806161746,5.820074379444122
IL4,endothelial cell of lymphatic vessel,315,1,0.31746031746031744,0.4448696970939636
IL4,basophil,1322,4,0.30257186081694404,2.1770653650164604
IL4,"CD4-positive, alpha-beta T cell",2124,6,0.2824858757062147,7.462037086486816
IL4,"CD8-positive, alpha-beta T cell",1898,5,0.26343519494204426,7.593027830123901
IL4,non-classical monocyte,527,1,0.18975332068311196,1.4173028469085693
IL4,adventitial cell,581,1,0.1721170395869191,0.028746403753757477
IL4,pulmonary alveolar type 2 cell,11594,13,0.11212696222183888,2.833122080541216
IL4,basal cell,4015,4,0.099626400996264,2.725068986415863
IL4,respiratory tract goblet cell,1040,1,0.09615384615384616,0.47592103481292725
IL4,classical monocyte,1569,1,0.06373486297004462,0.7660620212554932
IL4,capillary endothelial cell,7243,2,0.027612867596299877,1.1014497263822705
IL4,macrophage,16486,2,0.01213150551983501,1.382636547088623
IL4,B cell,663,0,0.0,0.0
IL4,alveolar adventitial fibroblast,1113,0,0.0,0.0
IL4,bronchial smooth muscle cell,220,0,0.0,0.0
IL4,club cell,1747,0,0.0,0.0
IL4,endothelial cell of artery,1754,0,0.0,0.0
IL4,intermediate monocyte,2785,0,0.0,0.0
IL4,mast cell,3,0,0.0,0.0
IL4,mature NK T cell,163,0,0.0,0.0
IL4,mesothelial cell,18,0,0.0,0.0
IL4,monocyte,506,0,0.0,0.0
IL4,myeloid dendritic cell,33,0,0.0,0.0
IL4,natural killer cell,1019,0,0.0,0.0
IL4,neutrophil,371,0,0.0,0.0
IL4,pericyte,739,0,0.0,0.0
IL4,plasma cell,148,0,0.0,0.0
IL4,plasmacytoid dendritic cell,19,0,0.0,0.0
IL4,pulmonary ionocyte,25,0,0.0,0.0
IL4,serous cell of epithelium of bronchus,15,0,0.0,0.0
IL4,vascular associated smooth muscle cell,131,0,0.0,0.0
IL4,vein endothelial cell,1336,0,0.0,0.0
TNFSF14,mesothelial cell,18,11,61.111111111111114,7.180139273405075
TNFSF14,adventitial cell,581,118,20.309810671256454,86.39308819011785
TNFSF14,neutrophil,371,48,12.93800539083558,57.929902493953705
TNFSF14,pulmonary alveolar type 2 cell,11594,1482,12.782473693289633,582.6513157618465
TNFSF14,mature NK T cell,163,18,11.042944785276074,23.906347453594208
TNFSF14,"CD8-positive, alpha-beta T cell",1898,134,7.060063224446786,177.77129197120667
TNFSF14,natural killer cell,1019,61,5.986261040235525,67.47954437695444
TNFSF14,alveolar adventitial fibroblast,1113,64,5.750224618149146,46.398422425147146
TNFSF14,"CD4-positive, alpha-beta T cell",2124,93,4.378531073446328,111.4369255900383
TNFSF14,monocyte,506,17,3.3596837944664033,14.205589085817337
TNFSF14,myeloid dendritic cell,33,1,3.0303030303030303,0.004029288422316313
TNFSF14,macrophage,16486,478,2.899429819240568,268.8560523148626
TNFSF14,classical monocyte,1569,41,2.613129381771829,31.628045063931495
TNFSF14,intermediate monocyte,2785,37,1.3285457809694794,19.787350550293922
TNFSF14,basophil,1322,16,1.2102874432677762,14.819539278745651
TNFSF14,club cell,1747,21,1.2020606754436176,8.97434276342392
TNFSF14,respiratory tract goblet cell,1040,11,1.0576923076923077,4.981466487981379
TNFSF14,non-classical monocyte,527,5,0.9487666034155597,3.176349103450775
TNFSF14,endothelial cell of lymphatic vessel,315,2,0.6349206349206349,1.520530879497528
TNFSF14,pulmonary alveolar type 1 cell,3116,12,0.3851091142490372,4.944289140403271
TNFSF14,basal cell,4015,10,0.24906600249066002,6.010504174977541
TNFSF14,lung multiciliated epithelial cell,1209,3,0.24813895781637718,1.3825650662183762
TNFSF14,B cell,663,1,0.15082956259426847,0.933052659034729
TNFSF14,vein endothelial cell,1336,2,0.1497005988023952,0.5336171090602875
TNFSF14,endothelial cell of artery,1754,2,0.11402508551881414,1.3794170320034027
TNFSF14,capillary endothelial cell,7243,5,0.0690321689907497,2.256043983390555
TNFSF14,bronchial smooth muscle cell,220,0,0.0,0.0
TNFSF14,mast cell,3,0,0.0,0.0
TNFSF14,pericyte,739,0,0.0,0.0
TNFSF14,plasma cell,148,0,0.0,0.0
TNFSF14,plasmacytoid dendritic cell,19,0,0.0,0.0
TNFSF14,pulmonary ionocyte,25,0,0.0,0.0
TNFSF14,serous cell of epithelium of bronchus,15,0,0.0,0.0
TNFSF14,vascular associated smooth muscle cell,131,0,0.0,0.0
TSLP,pulmonary alveolar type 2 cell,11594,4859,41.909608418147315,2176.0452519161627
TSLP,mesothelial cell,18,6,33.333333333333336,3.6436542570590973
TSLP,adventitial cell,581,150,25.817555938037867,162.93620873615146
TSLP,endothelial cell of lymphatic vessel,315,77,24.444444444444443,79.52448213100433
TSLP,pulmonary alveolar type 1 cell,3116,501,16.078305519897306,316.48412726819515
TSLP,club cell,1747,245,14.024041213508873,130.68783362954855
TSLP,alveolar adventitial fibroblast,1113,139,12.488769092542677,129.36569817736745
TSLP,basal cell,4015,501,12.478206724782067,291.29043801221997
TSLP,pulmonary ionocyte,25,3,12.0,1.5256081223487854
TSLP,vein endothelial cell,1336,154,11.52694610778443,116.0183103941381
TSLP,bronchial smooth muscle cell,220,23,10.454545454545455,24.547927051782608
TSLP,vascular associated smooth muscle cell,131,13,9.923664122137405,13.557192087173462
TSLP,serous cell of epithelium of bronchus,15,1,6.666666666666667,0.22595876455307007
TSLP,endothelial cell of artery,1754,116,6.61345496009122,94.02836793661118
TSLP,myeloid dendritic cell,33,2,6.0606060606060606,0.0028413659892976284
TSLP,"CD4-positive, alpha-beta T cell",2124,107,5.037664783427496,123.72878429293633
TSLP,basophil,1322,61,4.614220877458396,54.739078760147095
TSLP,respiratory tract goblet cell,1040,47,4.519230769230769,25.47900453954935
TSLP,B cell,663,29,4.374057315233785,30.89762805402279
TSLP,lung multiciliated epithelial cell,1209,48,3.970223325062035,21.247795566916466
TSLP,pericyte,739,24,3.2476319350473615,23.36747819185257
TSLP,monocyte,506,10,1.976284584980237,7.921103268861771
TSLP,intermediate monocyte,2785,55,1.9748653500897666,35.98366402089596
TSLP,"CD8-positive, alpha-beta T cell",1898,37,1.9494204425711275,44.90407371520996
TSLP,capillary endothelial cell,7243,136,1.8776749965483917,148.9161046296358
TSLP,classical monocyte,1569,29,1.8483110261312938,22.428846396505833
TSLP,macrophage,16486,288,1.7469367948562418,126.6511880948674
TSLP,neutrophil,371,6,1.6172506738544474,4.924530744552612
TSLP,plasma cell,148,2,1.3513513513513513,0.5291598439216614
TSLP,non-classical monocyte,527,5,0.9487666034155597,2.302034526132047
TSLP,natural killer cell,1019,8,0.7850834151128557,10.260971248149872
TSLP,mast cell,3,0,0.0,0.0
TSLP,mature NK T cell,163,0,0.0,0.0
TSLP,plasmacytoid dendritic cell,19,0,0.0,0.0
