gene,genetic_MR_significant,genetic_OR,genetic_p,coloc_pp4,PRISM_candidate,PRISM_score,FAERS_allergy_signal,ChEMBL_n_mechanisms,ChEMBL_top_action,lines_of_evidence
RORC,True,0.66,0.007004115449084,0.96,H-151,0.18,False,1,ANTAGONIST,3
IL6,True,1.4,0.0438453763397472,0.9,PF-06873600,1.74,False,9,INHIBITOR,3
TNF,False,,,,ABBV-744,1.37,False,15,INHIBITOR,2
SRC,False,,,,PD-166285,4.22,False,13,INHIBITOR,2
MTOR,False,,,,PF-06873600,0.8,False,27,INHIBITOR,2
JAK1,False,,,,INCB-057643,1.42,False,20,INHIBITOR,2
NLRP3,False,,,,dapansutrile,0.02,False,1,INHIBITOR,2
JAK3,False,,,,AT-406,0.62,False,15,INHIBITOR,2
IL1R1,False,,,,AMG-176,0.68,False,3,ANTAGONIST,2
TSLP,False,,,,AMG-176,0.66,False,2,INHIBITOR,2
IL4,True,0.58,1.3300430534712861e-08,1.0,,,False,2,INHIBITOR,2
IFNG,False,,,,AMG-176,0.63,False,3,INHIBITOR,2
TP53,False,,,,siremadlin,0.11,False,6,INHIBITOR,2
STAT5A,True,1.22,0.0375905647982774,0.9,,,False,0,,1
GATA3,True,0.52,0.0084495188665798,0.95,,,False,0,,1
IL33,False,,,,,,False,3,INHIBITOR,1
IL13,False,,,,,,False,8,INHIBITOR,1
IL5,False,,,,,,False,3,INHIBITOR,1
BCL2,False,,,,,,False,4,INHIBITOR,1
IL1B,False,,,,,,False,5,INHIBITOR,1
IL6R,False,,,,,,False,5,INHIBITOR,1
CDKN2A,False,,,,,,False,0,,0
CDKN1A,False,,,,,,False,0,,0
TBX21,False,,,,,,False,0,,0
IL7R,False,,,,,,False,0,,0
FOXP3,False,,,,,,False,0,,0
IL2,False,,,,,,False,0,,0
STAT5B,False,,,,,,False,0,,0
