pert_iname,signature,n_sig,mean_z,se_z,z_score,p,connectivity_score
quercetin,aging_signature_genes,42,-0.22428343,0.075532794,-2.9693518,0.0029842875419288095,0.22428343
tofacitinib,aging_signature_genes,48,-0.20753719,0.060636967,-3.4226182,0.0006202113700430889,0.20753719
navitoclax,aging_signature_genes,42,-0.18924694,0.055430345,-3.4141395,0.0006398380381069657,0.18924694
ruxolitinib,aging_signature_genes,129,-0.11929675,0.02649978,-4.5018015,6.7379899555408684e-06,0.11929675
azithromycin,aging_signature_genes,42,-0.09635806,0.044371862,-2.1716027,0.029885641233910576,0.09635806
dasatinib,aging_signature_genes,654,-0.0652636,0.013039884,-5.004922,5.588468054984475e-07,0.0652636
azathioprine,aging_signature_genes,42,-0.030878777,0.034256164,-0.9014079,0.3673714839236828,0.030878777
everolimus,aging_signature_genes,180,-0.0014664924,0.02511882,-0.058382217,0.9534441795138897,0.0014664924
sirolimus,aging_signature_genes,255,0.019250615,0.019165954,1.0044173,0.31517751463993493,-0.019250615
temsirolimus,aging_signature_genes,84,0.042106055,0.036316674,1.1594138,0.2462875484231093,-0.042106055
baricitinib,aging_signature_genes,42,0.063097216,0.06008981,1.0500485,0.2936958283155966,-0.063097216
