analysis,outcome,exposure,model,beta,se,p,n,n_events,effect,ci_lower,ci_upper,effect_scale,weight,note
main_logistic,allergy_composite,I_z (per SD),unweighted,0.300493340175733,0.032498345953473576,2.321386321184097e-20,7021,1092.0,1.350524911451739,1.267183323794352,1.4393478056437288,or,none,
main_logistic,allergy_composite,I_z (per SD),weighted,0.35101322209237584,0.050449324729286885,3.4577762695608926e-12,7021,1092.0,1.420506107851005,1.2867665812602969,1.5681457941390444,or,WTMEC2YR,
main_logistic,allergy_composite,"I (per unit, R4 scale)",unweighted,0.4851849834534569,0.05247274177350993,2.3213863211830637e-20,7021,1092.0,1.6244754821368206,1.4657080108437304,1.8004408603488284,or,none,
main_logistic,allergy_composite,"I (per unit, R4 scale)",weighted,0.5667558031510318,0.08145689608196546,3.4577762695628333e-12,7021,1092.0,1.762539740322908,1.502454774533899,2.0676471524284494,or,WTMEC2YR,
main_logistic,allergy_composite,I_z (per SD),weighted_strataFE,0.3583906996032241,0.05013088384407967,8.734870969432758e-13,7021,1092.0,1.4310246120220214,1.2971041039068085,1.5787718457175623,or,WTMEC2YR,SDMVSTRA fixed effects added; cluster=strata x PSU
ige_validation,total_IgE_continuous,I_z (per SD),unweighted,0.30533813768133755,0.016213125783983335,4.06876524313473e-79,7854,,0.30533813768133755,0.27356041114473023,0.33711586421794487,beta,none,
ige_validation,total_IgE_continuous,I_z (per SD),weighted,0.30975398495754614,0.024058426899381518,6.218085231425764e-38,7854,,0.30975398495754614,0.2625994682347584,0.3569085016803339,beta,WTMEC2YR,
ige_validation,high_total_IgE_gt100,I_z (per SD),unweighted,0.41043023020294434,0.0266813412074818,2.1394479170198107e-53,7854,,1.5074662031088442,1.4306584622974727,1.588397520024517,or,none,
ige_validation,high_total_IgE_gt100,I_z (per SD),weighted,0.42700759942614624,0.035827213735181086,9.476971055745822e-33,7854,,1.5326643090489858,1.4287304610891112,1.6441588866537733,or,WTMEC2YR,
ige_validation,any_specific_IgE_positive,I_z (per SD),unweighted,0.3542343734022866,0.025673787320405136,2.6380322065428256e-43,7869,,1.4250891503349628,1.3551521695190096,1.498635453702041,or,none,
ige_validation,any_specific_IgE_positive,I_z (per SD),weighted,0.3285835448462727,0.027389091895497108,3.6896062967963084e-33,7869,,1.3889992792120647,1.316400245698251,1.4656021251563023,or,WTMEC2YR,
ige_validation,self_reported_allergy_in_IgE_pos,I_z (per SD),unweighted,0.2372375725732224,0.03634542923679282,6.696519256982458e-11,3747,1282.0,1.2677422627935235,1.1805737289254619,1.3613469497882713,or,none,
ige_validation,self_reported_allergy_in_IgE_pos,I_z (per SD),weighted,0.30946129066699024,0.06211379552953862,6.287619460129222e-07,3747,1282.0,1.362690822101078,1.2064935396274208,1.539110004030318,or,WTMEC2YR,
mortality_cox,all_cause_mortality,I_z,unweighted,0.20173226463238825,0.11980515376232645,0.09221331329369735,4981,54.0,1.2235203845751665,0.9674555127958225,1.5473601748826866,hr,none,
mortality_cox,all_cause_mortality,age,unweighted,0.07617239966433378,0.011569138895701016,4.5764044967044873e-11,4981,54.0,1.0791486029780897,1.0549537081439093,1.1038983969813219,hr,none,
mortality_cox,all_cause_mortality,sex_female,unweighted,-0.21813421728083782,0.2766756591947994,0.4304561608233721,4981,54.0,0.8040175213788725,0.467470745209854,1.382854823127013,hr,none,
mortality_cox,all_cause_mortality,bmi,unweighted,-0.030545738037338704,0.023853729682988357,0.2003540629966625,4981,54.0,0.9699160689952993,0.9256130092945276,1.0163396273052532,hr,none,
mortality_cox,all_cause_mortality,I_z,weighted,0.06921828330539037,0.13380359253627128,0.6049379651877848,4981,54.0,1.0716701113131342,0.824451668333528,1.3930189865505789,hr,WTMEC2YR,
mortality_cox,all_cause_mortality,age,weighted,0.1021592468383764,0.022920826787590446,8.309563617912403e-06,4981,54.0,1.107559833086798,1.0589040162887013,1.1584513468620272,hr,WTMEC2YR,
mortality_cox,all_cause_mortality,sex_female,weighted,-0.038096967304428235,0.3661573779279672,0.9171333710971671,4981,54.0,0.9626195937382672,0.4696509930752088,1.9730320938562078,hr,WTMEC2YR,
mortality_cox,all_cause_mortality,bmi,weighted,0.02919016060874849,0.04345568029222617,0.5017603394433789,4981,54.0,1.0296203690963974,0.9455552359454656,1.1211593613546904,hr,WTMEC2YR,
threshold_hinge,allergy_composite,I_z hinge knot,weighted,-1.75,1.0076530612244898,,7021,1092.0,-1.75,-3.725,0.2250000000000001,beta,WTMEC2YR,"knot on I_z scale; bootstrap 95% CI [-1.95, 2.0]; stratified PSU resampling; hinge slope p=8.16e-05"
