prism_name,target_gene,chembl_id,chembl_name,matrix_row_id,prism_id,name,dose,mean_lfc,median_lfc,std_lfc,n_cell_lines,target_median_gene_effect,abs_essentiality,senolytic_proxy
PD-166285,SRC,CHEMBL3545196,PD-0166285,BRD:BRD-K93217218-300-03-9,BRD-K93217218-300-03-9,PD-166285,2.5,-4.840203469037358,-4.89479060731119,1.6307053439534829,893,-0.14711551734479106,0.14711551734479106,4.219456014544111
PF-06873600,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00004750-001-01-9,BRD-K00004750-001-01-9,PF-06873600,2.5,-1.7548168523672114,-1.67174939415494,1.1214837414175913,890,0.006465410950045,0.006465410950045,1.7435441231018223
INCB-057643,JAK1,CHEMBL3545225,INCB-047986,BRD:BRD-K00003102-001-01-9,BRD-K00003102-001-01-9,INCB-057643,2.5,-1.4852227324622278,-1.27477384679264,1.4958705227429672,895,-0.0474361734625947,0.0474361734625947,1.4179601297828073
JNJ-64619178,SRC,CHEMBL3545133,JNJ-26483327,BRD:BRD-K30421675-001-04-9,BRD-K30421675-001-04-9,JNJ-64619178,2.5,-1.6048635087419227,-1.521045175987385,1.0074273989727236,890,-0.14711551734479106,0.14711551734479106,1.3990426286418591
ABBV-744,TNF,CHEMBL4297572,ABBV-3373,BRD:BRD-K00003108-001-01-9,BRD-K00003108-001-01-9,ABBV-744,2.5,-1.4391022206775637,-1.25355838464331,1.5257742382783714,895,-0.0498113489881302,0.0498113489881302,1.3708198354539174
PD-161570,SRC,CHEMBL3545196,PD-0166285,BRD:BRD-K97152684-001-03-9,BRD-K97152684-001-03-9,PD-161570,2.5,-1.3518408729075087,-1.14669781462647,1.2650648788084298,893,-0.14711551734479106,0.14711551734479106,1.1784696941739503
PF-06459988,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00003311-001-01-9,BRD-K00003311-001-01-9,PF-06459988,2.5,-0.8252173010104109,-0.690002405291834,0.9160307928777606,895,0.006465410950045,0.006465410950045,0.8199162057953423
PF-06873600,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00004750-001-01-9,BRD-K00004750-001-01-9,PF-06873600,2.5,-1.7548168523672114,-1.67174939415494,1.1214837414175913,890,-1.1977861924570643,1.1977861924570643,0.7984474824666064
CC-223,MTOR,CHEMBL3586573,CC-115,BRD:BRD-K88737571-001-02-2,BRD-K88737571-001-02-2,CC-223,2.5,-1.728943774306761,-1.63692474945249,0.9088974016534913,895,-1.1977861924570643,1.1977861924570643,0.7866751462178628
CC-90003,MTOR,CHEMBL3586573,CC-115,BRD:BRD-K00003116-001-01-9,BRD-K00003116-001-01-9,CC-90003,2.5,-1.6801922108910927,-1.39950143153849,1.4608362881727908,895,-1.1977861924570643,1.1977861924570643,0.7644930233239313
SBI-115,MTOR,CHEMBL3586573,CC-115,BRD:BRD-K00005340-001-01-9,BRD-K00005340-001-01-9,SBI-115,2.5,-1.640108257755764,-1.53908329531297,0.9517896885339275,895,-1.1977861924570643,1.1977861924570643,0.7462546918279472
AMG-176,IL1R1,CHEMBL2109458,AMG-108,BRD:BRD-K43900408-001-02-9,BRD-K43900408-001-02-9,AMG-176,2.5,-0.684387223940705,-0.383383822297619,1.1737700723378715,890,-0.01176082520488355,0.01176082520488355,0.6764318274549869
triciribine-phosphate,JAK1,CHEMBL1795071,RUXOLITINIB PHOSPHATE,BRD:BRD-K00004666-001-01-9,BRD-K00004666-001-01-9,triciribine-phosphate,2.5,-0.7062971905030979,-0.560788037809482,0.9772458966465009,890,-0.0474361734625947,0.0474361734625947,0.6743104815334322
AMG-176,TSLP,CHEMBL2109595,AMG-157,BRD:BRD-K43900408-001-02-9,BRD-K43900408-001-02-9,AMG-176,2.5,-0.684387223940705,-0.383383822297619,1.1737700723378715,890,0.030325546033514998,0.030325546033514998,0.6642436718912944
AMG-176,IFNG,CHEMBL2109450,AMG-811,BRD:BRD-K43900408-001-02-9,BRD-K43900408-001-02-9,AMG-176,2.5,-0.684387223940705,-0.383383822297619,1.1737700723378715,890,0.0803318132794105,0.0803318132794105,0.63349724179945
AT-406,JAK3,CHEMBL495727,AT-9283,BRD:BRD-K83030136-001-02-9,BRD-K83030136-001-02-9,AT-406,2.5,-0.6923292373015558,-0.439335243234272,1.0556578209627585,895,-0.11882528663470629,0.11882528663470629,0.6188001340084116
AZM-475271,SRC,CHEMBL3545150,AZM-475271,BRD:BRD-K51329597-001-02-9,BRD-K51329597-001-02-9,AZM-475271,2.5,-0.5646010241111081,-0.421310963177947,0.8380572725122015,893,-0.14711551734479106,0.14711551734479106,0.4921919506572281
PF-06747775,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00004648-001-01-9,BRD-K00004648-001-01-9,PF-06747775,2.5,-0.4886210171618352,-0.246715987763041,0.9842775956143629,895,0.006465410950045,0.006465410950045,0.48548217538902333
PF-429242,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K11821338-300-02-9,BRD-K11821338-300-02-9,PF-429242,2.5,-0.4522118951433724,-0.296094884257479,0.946218541146213,893,0.006465410950045,0.006465410950045,0.4493069411262833
PF-06459988,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00003311-001-01-9,BRD-K00003311-001-01-9,PF-06459988,2.5,-0.8252173010104109,-0.690002405291834,0.9160307928777606,895,-1.1977861924570643,1.1977861924570643,0.37547660634260366
PF-06409577,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00003731-001-01-9,BRD-K00003731-001-01-9,PF-06409577,2.5,-0.3377954697901343,-0.3207916541651435,0.48780618753223887,890,0.006465410950045,0.006465410950045,0.3356255129237625
PF-4191834,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00004633-001-01-9,BRD-K00004633-001-01-9,PF-4191834,2.5,-0.27997294951283386,-0.193899818846308,0.5239998790702735,895,0.006465410950045,0.006465410950045,0.27817443745886467
PF-06260414,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00004644-001-01-9,BRD-K00004644-001-01-9,PF-06260414,2.5,-0.2615437297061888,-0.205112272325678,0.5381039881771753,895,0.006465410950045,0.006465410950045,0.2598636047107736
TP-003,IL6,CHEMBL2109615,MRA 003 US,BRD:BRD-K87941707-001-02-9,BRD-K87941707-001-02-9,TP-003,2.5,-0.23226358527177257,-0.217062738066831,0.4339869097795125,895,0.006465410950045,0.006465410950045,0.23077155235024838
PF-06747775,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00004648-001-01-9,BRD-K00004648-001-01-9,PF-06747775,2.5,-0.4886210171618352,-0.246715987763041,0.9842775956143629,895,-1.1977861924570643,1.1977861924570643,0.22232418186937938
PF-429242,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K11821338-300-02-9,BRD-K11821338-300-02-9,PF-429242,2.5,-0.4522118951433724,-0.296094884257479,0.946218541146213,893,-1.1977861924570643,1.1977861924570643,0.205757910708235
PF-06305591,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00004712-001-01-9,BRD-K00004712-001-01-9,PF-06305591,2.5,-0.18410447500839067,-0.183340093266558,0.42533012769934786,890,0.006465410950045,0.006465410950045,0.1829218103328625
H-151,RORC,CHEMBL3545357,JTE-151,BRD:BRD-K00005333-001-01-9,BRD-K00005333-001-01-9,H-151,2.5,-0.21562685793386596,-0.172259458846688,0.5175506432350907,895,-0.18115369533826875,0.18115369533826875,0.18255613878608143
AMG-510,IL1R1,CHEMBL2109458,AMG-108,BRD:BRD-K00010385-001-01-9,BRD-K00010385-001-01-9,AMG-510,2.5,-0.17821096868469394,-0.140702027364949,0.5504878424610693,895,-0.01176082520488355,0.01176082520488355,0.17613942371074298
