pert_iname,signature,n_sig,mean_z,se_z,z_score,p,connectivity_score,q_alarmin_family
azathioprine,alarmin_type2_genes,42,-0.09498697,0.04686141234784879,-2.0269762045873025,0.0426648462496142,0.09498697,0.11732832718643904
azithromycin,alarmin_type2_genes,42,-0.13979754,0.05141157809287738,-2.7191839602035746,0.006544320031564025,0.13979754,0.02399584011573476
baricitinib,alarmin_type2_genes,42,-0.12051914,0.0721184724830776,-1.6711271706552429,0.0946965616419668,0.12051914,0.17361036301027247
dasatinib,alarmin_type2_genes,654,0.07962565,0.019556903183603525,4.071485679138957,4.6714234767469686e-05,-0.07962565,0.0005138565824421666
everolimus,alarmin_type2_genes,180,0.07028509,0.0393938916684127,1.7841621210107754,0.07439732541293054,-0.07028509,0.1636741159084472
navitoclax,alarmin_type2_genes,42,-0.007880563,0.06463108550923675,-0.12193146462427584,0.9029532963732783,0.007880563,0.9029532963732781
quercetin,alarmin_type2_genes,42,0.07170261,0.08609166254972553,0.8328635416306158,0.4049216934935268,-0.07170261,0.6264432250607387
ruxolitinib,alarmin_type2_genes,129,-0.025178641,0.03374611205707841,-0.7461197615378325,0.4555950727714463,0.025178641,0.6264432250607387
sirolimus,alarmin_type2_genes,255,-0.021852305,0.03338088587809888,-0.6546352675831766,0.5127026117025631,0.021852305,0.6266365254142439
temsirolimus,alarmin_type2_genes,84,0.016094383,0.047330043946482415,0.3400458041094222,0.7338220342978239,-0.016094383,0.8072042377276063
tofacitinib,alarmin_type2_genes,48,0.32872936,0.1170907760018648,2.807474444361567,0.004993164149837887,-0.32872936,0.02399584011573476
