model,predictor,n,beta,se,p,or_,or_lower,or_upper
unweighted|I_z (per SD),I_z,7021,0.300493340175733,0.032498345953473576,2.321386321184097e-20,1.350524911451739,1.267183323794352,1.4393478056437288
unweighted|I_z (per SD),age,7021,-0.011120180051377408,0.0015913896870298422,2.793961356043248e-12,0.9889414206025838,0.985861595568761,0.9920308669892229
unweighted|I_z (per SD),sex_female,7021,0.10549821977218848,0.06723278469082565,0.11661335303573511,1.1112641262177878,0.9740642248700883,1.267789049929725
unweighted|I_z (per SD),bmi,7021,0.02862697909808704,0.004138414129414575,4.600759655729551e-12,1.0290406691949772,1.020727580683972,1.0374214618044115
weighted|I_z (per SD),I_z,7021,0.35101322209237584,0.050449324729286885,3.4577762695608926e-12,1.420506107851005,1.2867665812602969,1.5681457941390444
weighted|I_z (per SD),age,7021,-0.011887628518819004,0.0021463634114457487,3.050774956404705e-08,0.9881827501824151,0.9840343236252567,0.9923486654007787
weighted|I_z (per SD),sex_female,7021,0.26296595262603284,0.1052050435638247,0.012434886157649145,1.3007824299719237,1.0584060682715875,1.5986632927065623
weighted|I_z (per SD),bmi,7021,0.02349747527814673,0.00621003142863049,0.00015445611635447266,1.0237757159944434,1.01139019352759,1.0363129120366967
"unweighted|I (per unit, R4 scale)",I,7021,0.4851849834534569,0.05247274177350993,2.3213863211830637e-20,1.6244754821368206,1.4657080108437304,1.8004408603488284
"unweighted|I (per unit, R4 scale)",age,7021,-0.011120180051380395,0.0015913896870298886,2.793961356009938e-12,0.9889414206025808,0.9858615955687579,0.9920308669892202
"unweighted|I (per unit, R4 scale)",sex_female,7021,0.10549821977218815,0.06723278469082526,0.11661335303573418,1.1112641262177874,0.9740642248700886,1.2677890499297237
"unweighted|I (per unit, R4 scale)",bmi,7021,0.028626979098091684,0.004138414129414566,4.6007596556926025e-12,1.029040669194982,1.0207275806839768,1.0374214618044162
"weighted|I (per unit, R4 scale)",I,7021,0.5667558031510318,0.08145689608196546,3.4577762695628333e-12,1.762539740322908,1.502454774533899,2.0676471524284494
"weighted|I (per unit, R4 scale)",age,7021,-0.011887628518820182,0.002146363411445811,3.050774956397947e-08,0.988182750182414,0.9840343236252554,0.9923486654007777
"weighted|I (per unit, R4 scale)",sex_female,7021,0.2629659526260328,0.10520504356382576,0.012434886157650047,1.3007824299719235,1.0584060682715852,1.5986632927065654
"weighted|I (per unit, R4 scale)",bmi,7021,0.023497475278148407,0.0062100314286305325,0.00015445611635432141,1.023775715994445,1.0113901935275915,1.0363129120366985
weighted_strataFE|I_z (per SD),I_z,7021,0.3583906996032241,0.05013088384407967,8.734870969432758e-13,1.4310246120220214,1.2971041039068085,1.5787718457175623
weighted_strataFE|I_z (per SD),age,7021,-0.011848201188247228,0.002152439194239111,3.7012019952177394e-08,0.9882217123584541,0.9840614034379578,0.9923996097853724
weighted_strataFE|I_z (per SD),sex_female,7021,0.2727316838322891,0.10513216015651884,0.009481699824041389,1.3135477514382454,1.0689455015057399,1.6141212932539817
weighted_strataFE|I_z (per SD),bmi,7021,0.023397962477642156,0.006211630242881479,0.00016535403302026284,1.0236738422748097,1.0112863832158945,1.0362130379184187
