model,group,predictor,n,beta,se,or,or_lower,or_upper,p
unweighted,,I_z,14878,0.2302546760897763,0.020996024510620027,1.2589205860784065,1.2081647444246189,1.3118087159601635,5.532292448476026e-28
unweighted,,age_c,14878,-0.001201413334977347,0.000989229635016575,0.9987993080730914,0.99686462217587,1.0007377487524944,0.22455918646146011
unweighted,,I_z:age_c,14878,-0.0013944977937510518,0.0008541895016727033,0.9986064740664925,0.9969359944584655,1.0002797527530325,0.10256596035420314
unweighted,,sex_female,14878,0.042298235757660695,0.04155020690485863,1.0432055535603038,0.9616159102126193,1.1317177840146537,0.3086765249187793
unweighted,,bmi,14878,0.0821944986645252,0.0029039489417625026,1.0856669500675435,1.0795051684057109,1.0918639029859476,3.0517744352211987e-176
unweighted,,cycle_D,14878,1.058486500079604,0.04431599419471427,2.8820057712173313,2.642240288561787,3.1435283540586187,4.387999177062446e-126
weighted,,I_z,14878,0.2668958788487068,0.03851197378318662,1.3059044669750333,1.2109587608997259,1.4082944291168653,4.2023077831370565e-12
weighted,,age_c,14878,-0.003022094681857345,0.001730255677816448,0.996982467249589,0.993607126117347,1.0003692746117518,0.0807037260559217
weighted,,I_z:age_c,14878,-0.0009581009287722066,0.0011244706852774045,0.9990423579033751,0.9968429305855553,1.0012466380223515,0.3941884729571111
weighted,,sex_female,14878,0.18845668750757674,0.060761493547509635,1.2073847870096495,1.0718264545753662,1.3600877433836762,0.001924902706965574
weighted,,bmi,14878,0.08751123759328612,0.0107908040483275,1.0914545296961307,1.0686126962370812,1.1147846124129404,5.070411745825354e-16
weighted,,cycle_D,14878,1.3410892924628426,0.08569697217320915,3.8232058272533593,3.2320713838537376,4.52245667300692,3.364074831000522e-55
