trait,tissue,study_id,is_age,is_allergy,is_blood
Smoking,Lymphoblasts,22232023_smoking_current_vs_never_smoking,False,False,False
Smoking,Whole blood,23070629_smoking_females_only,False,False,True
Smoking,Whole blood,23070629_smoking_males_only,False,False,True
Smoking,Peripheral blood,23175441_smoking_breast_cancer_cohort,False,False,True
Smoking,Peripheral blood,23175441_smoking_colon_cancer_cohort,False,False,True
Age,Whole blood,23177740_Battram-T_age_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse40279,True,False,True
Child abuse,Saliva,23332324_child_abuse,False,False,False
Rheumatoid arthritis,Whole blood,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861,False,False,True
Rheumatoid arthritis,Whole blood,23334450_rheumatoid_arthritis,False,False,True
Clear cell renal carcinoma,Clear cell renal carcinoma tumour cells and adjacent healthy cells,23526956_clear_cell_renal_carcinoma,False,False,False
Smoking,Whole blood,23691101_smoking_current_vs_never_smoking_discovery,False,False,True
Smoking,Whole blood,23691101_smoking_current_vs_never_smoking_replication,False,False,True
Smoking,Whole blood,23691101_smoking_former_vs_never_smoking,False,False,True
Ethnicity,Lymphoblasts,23792949_Battram-T_ethnicity_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse39672__compared_european_and_african_samples_from_hapmap__ceu_and_yri_,False,False,False
Right vs left colon adenomas,Colon adenoma,23868178_right_vs_left_colon_adenomas_basic_model,False,False,False
Right vs left colon adenomas,Colon adenomas,23868178_right_vs_left_colon_adenomas_fully_adjusted_model,False,False,False
M00054_tryptophan,Whole blood,24014485_Petersen-A-K_m00054_tryptophan_no_snps_model,False,False,True
M00054_tryptophan,Whole blood,24014485_Petersen-A-K_m00054_tryptophan_snps_as_covariates_model,False,False,True
M00060_leucine,Whole blood,24014485_Petersen-A-K_m00060_leucine_no_snps_model,False,False,True
M00542_3-hydroxybutyrate_BHBA,Whole blood,24014485_Petersen-A-K_m00542_3-hydroxybutyrate_bhba_no_snps_model,False,False,True
M00542_3-hydroxybutyrate_BHBA,Whole blood,24014485_Petersen-A-K_m00542_3-hydroxybutyrate_bhba_snps_as_covariates_model,False,False,True
M00555_adenosine,Whole blood,24014485_Petersen-A-K_m00555_adenosine_no_snps_model,False,False,True
M00555_adenosine,Whole blood,24014485_Petersen-A-K_m00555_adenosine_snps_as_covariates_model,False,False,True
M00584_mannose,Whole blood,24014485_Petersen-A-K_m00584_mannose_no_snps_model,False,False,True
M01105_linoleate_18:2n6,Whole blood,24014485_Petersen-A-K_m01105_linoleate_18_2n6_no_snps_model,False,False,True
M01105_linoleate_18:2n6,Whole blood,24014485_Petersen-A-K_m01105_linoleate_18_2n6_snps_as_covariates_model,False,False,True
M01125_isoleucine,Whole blood,24014485_Petersen-A-K_m01125_isoleucine_no_snps_model,False,False,True
M01125_isoleucine,Whole blood,24014485_Petersen-A-K_m01125_isoleucine_snps_as_covariates_model,False,False,True
M01299_tyrosine,Whole blood,24014485_Petersen-A-K_m01299_tyrosine_no_snps_model,False,False,True
M01299_tyrosine,Whole blood,24014485_Petersen-A-K_m01299_tyrosine_snps_as_covariates_model,False,False,True
M01302_methionine,Whole blood,24014485_Petersen-A-K_m01302_methionine_no_snps_model,False,False,True
M01302_methionine,Whole blood,24014485_Petersen-A-K_m01302_methionine_snps_as_covariates_model,False,False,True
M01336_palmitate_16:0,Whole blood,24014485_Petersen-A-K_m01336_palmitate_16_0_snps_as_covariates_model,False,False,True
M01358_stearate_18:0,Whole blood,24014485_Petersen-A-K_m01358_stearate_18_0_snps_as_covariates_model,False,False,True
M01444_pipecolate,Whole blood,24014485_Petersen-A-K_m01444_pipecolate_no_snps_model,False,False,True
M01494_5-oxoproline,Whole blood,24014485_Petersen-A-K_m01494_5-oxoproline_no_snps_model,False,False,True
M01604_urate,Whole blood,24014485_Petersen-A-K_m01604_urate_no_snps_model,False,False,True
M01898_proline,Whole blood,24014485_Petersen-A-K_m01898_proline_snps_as_covariates_model,False,False,True
M02137_biliverdin,Whole blood,24014485_Petersen-A-K_m02137_biliverdin_no_snps_model,False,False,True
M02730_gamma-glutamylglutamine,Whole blood,24014485_Petersen-A-K_m02730_gamma-glutamylglutamine_no_snps_model,False,False,True
M02734_gamma-glutamyltyrosine,Whole blood,24014485_Petersen-A-K_m02734_gamma-glutamyltyrosine_no_snps_model,False,False,True
M02734_gamma-glutamyltyrosine,Whole blood,24014485_Petersen-A-K_m02734_gamma-glutamyltyrosine_snps_as_covariates_model,False,False,True
M12774_X-03094,Whole blood,24014485_Petersen-A-K_m12774_x-03094_no_snps_model,False,False,True
M12774_X-03094,Whole blood,24014485_Petersen-A-K_m12774_x-03094_snps_as_covariates_model,False,False,True
M15140_kynurenine,Whole blood,24014485_Petersen-A-K_m15140_kynurenine_snps_as_covariates_model,False,False,True
M15500_carnitine,Whole blood,24014485_Petersen-A-K_m15500_carnitine_no_snps_model,False,False,True
M15630_N-acetylornithine,Whole blood,24014485_Petersen-A-K_m15630_n-acetylornithine_no_snps_model,False,False,True
M15676_3-methyl-2-oxovalerate,Whole blood,24014485_Petersen-A-K_m15676_3-methyl-2-oxovalerate_no_snps_model,False,False,True
M15677_3-methylhistidine,Whole blood,24014485_Petersen-A-K_m15677_3-methylhistidine_snps_as_covariates_model,False,False,True
M15749_3-phenylpropionate_hydrocinnamate,Whole blood,24014485_Petersen-A-K_m15749_3-phenylpropionate_hydrocinnamate_no_snps_model,False,False,True
M15749_3-phenylpropionate_hydrocinnamate,Whole blood,24014485_Petersen-A-K_m15749_3-phenylpropionate_hydrocinnamate_snps_as_covariates_model,False,False,True
M15753_hippurate,Whole blood,24014485_Petersen-A-K_m15753_hippurate_no_snps_model,False,False,True
M15753_hippurate,Whole blood,24014485_Petersen-A-K_m15753_hippurate_snps_as_covariates_model,False,False,True
M15964_arabitol,Whole blood,24014485_Petersen-A-K_m15964_arabitol_no_snps_model,False,False,True
M15964_arabitol,Whole blood,24014485_Petersen-A-K_m15964_arabitol_snps_as_covariates_model,False,False,True
M17805_dihomo-linoleate_20:2n6,Whole blood,24014485_Petersen-A-K_m17805_dihomo-linoleate_20_2n6_no_snps_model,False,False,True
M17805_dihomo-linoleate_20:2n6,Whole blood,24014485_Petersen-A-K_m17805_dihomo-linoleate_20_2n6_snps_as_covariates_model,False,False,True
M17945_2-hydroxystearate,Whole blood,24014485_Petersen-A-K_m17945_2-hydroxystearate_no_snps_model,False,False,True
M17945_2-hydroxystearate,Whole blood,24014485_Petersen-A-K_m17945_2-hydroxystearate_snps_as_covariates_model,False,False,True
M20699_erythritol,Whole blood,24014485_Petersen-A-K_m20699_erythritol_no_snps_model,False,False,True
M20699_erythritol,Whole blood,24014485_Petersen-A-K_m20699_erythritol_snps_as_covariates_model,False,False,True
M21047_3-methyl-2-oxobutyrate,Whole blood,24014485_Petersen-A-K_m21047_3-methyl-2-oxobutyrate_no_snps_model,False,False,True
M21047_3-methyl-2-oxobutyrate,Whole blood,24014485_Petersen-A-K_m21047_3-methyl-2-oxobutyrate_snps_as_covariates_model,False,False,True
M21127_1-palmitoylglycerol_1-monopalmitin,Whole blood,24014485_Petersen-A-K_m21127_1-palmitoylglycerol_1-monopalmitin_no_snps_model,False,False,True
M21184_1-oleoylglycerol_1-monoolein,Whole blood,24014485_Petersen-A-K_m21184_1-oleoylglycerol_1-monoolein_no_snps_model,False,False,True
M21184_1-oleoylglycerol_1-monoolein,Whole blood,24014485_Petersen-A-K_m21184_1-oleoylglycerol_1-monoolein_snps_as_covariates_model,False,False,True
M27447_1-linoleoylglycerol_1-monolinolein,Whole blood,24014485_Petersen-A-K_m27447_1-linoleoylglycerol_1-monolinolein_no_snps_model,False,False,True
M27447_1-linoleoylglycerol_1-monolinolein,Whole blood,24014485_Petersen-A-K_m27447_1-linoleoylglycerol_1-monolinolein_snps_as_covariates_model,False,False,True
M27672_3-indoxyl_sulfate,Whole blood,24014485_Petersen-A-K_m27672_3-indoxyl_sulfate_no_snps_model,False,False,True
M27672_3-indoxyl_sulfate,Whole blood,24014485_Petersen-A-K_m27672_3-indoxyl_sulfate_snps_as_covariates_model,False,False,True
M27716_bilirubin_ZcommaZ,Whole blood,24014485_Petersen-A-K_m27716_bilirubin_zcommaz_no_snps_model,False,False,True
M31548_DSGEGDFXAEGGGVR*,Whole blood,24014485_Petersen-A-K_m31548_dsgegdfxaegggvr__no_snps_model,False,False,True
M31548_DSGEGDFXAEGGGVR*,Whole blood,24014485_Petersen-A-K_m31548_dsgegdfxaegggvr__snps_as_covariates_model,False,False,True
M32197_3-4-hydroxyphenyllactate,Whole blood,24014485_Petersen-A-K_m32197_3-4-hydroxyphenyllactate_no_snps_model,False,False,True
M32197_3-4-hydroxyphenyllactate,Whole blood,24014485_Petersen-A-K_m32197_3-4-hydroxyphenyllactate_snps_as_covariates_model,False,False,True
M32198_acetylcarnitine,Whole blood,24014485_Petersen-A-K_m32198_acetylcarnitine_no_snps_model,False,False,True
M32322_glutamate,Whole blood,24014485_Petersen-A-K_m32322_glutamate_no_snps_model,False,False,True
M32322_glutamate,Whole blood,24014485_Petersen-A-K_m32322_glutamate_snps_as_covariates_model,False,False,True
M32328_hexanoylcarnitine,Whole blood,24014485_Petersen-A-K_m32328_hexanoylcarnitine_no_snps_model,False,False,True
M32338_glycine,Whole blood,24014485_Petersen-A-K_m32338_glycine_no_snps_model,False,False,True
M32338_glycine,Whole blood,24014485_Petersen-A-K_m32338_glycine_snps_as_covariates_model,False,False,True
M32339_alanine,Whole blood,24014485_Petersen-A-K_m32339_alanine_no_snps_model,False,False,True
M32339_alanine,Whole blood,24014485_Petersen-A-K_m32339_alanine_snps_as_covariates_model,False,False,True
M32388_dodecanedioate,Whole blood,24014485_Petersen-A-K_m32388_dodecanedioate_no_snps_model,False,False,True
M32388_dodecanedioate,Whole blood,24014485_Petersen-A-K_m32388_dodecanedioate_snps_as_covariates_model,False,False,True
M32397_3-hydroxy-2-ethylpropionate,Whole blood,24014485_Petersen-A-K_m32397_3-hydroxy-2-ethylpropionate_no_snps_model,False,False,True
M32397_3-hydroxy-2-ethylpropionate,Whole blood,24014485_Petersen-A-K_m32397_3-hydroxy-2-ethylpropionate_snps_as_covariates_model,False,False,True
M32412_butyrylcarnitine,Whole blood,24014485_Petersen-A-K_m32412_butyrylcarnitine_no_snps_model,False,False,True
M32492_caprylate_8:0,Whole blood,24014485_Petersen-A-K_m32492_caprylate_8_0_no_snps_model,False,False,True
M32492_caprylate_8:0,Whole blood,24014485_Petersen-A-K_m32492_caprylate_8_0_snps_as_covariates_model,False,False,True
M32504_docosapentaenoate_n3_DPA;_22:5n3,Whole blood,24014485_Petersen-A-K_m32504_docosapentaenoate_n3_dpa__22_5n3_no_snps_model,False,False,True
M32504_docosapentaenoate_n3_DPA;_22:5n3,Whole blood,24014485_Petersen-A-K_m32504_docosapentaenoate_n3_dpa__22_5n3_snps_as_covariates_model,False,False,True
M32635_1-linoleoylglycerophosphoethanolamine*,Whole blood,24014485_Petersen-A-K_m32635_1-linoleoylglycerophosphoethanolamine__no_snps_model,False,False,True
M32635_1-linoleoylglycerophosphoethanolamine*,Whole blood,24014485_Petersen-A-K_m32635_1-linoleoylglycerophosphoethanolamine__snps_as_covariates_model,False,False,True
M32654_3-dehydrocarnitine*,Whole blood,24014485_Petersen-A-K_m32654_3-dehydrocarnitine__no_snps_model,False,False,True
M32654_3-dehydrocarnitine*,Whole blood,24014485_Petersen-A-K_m32654_3-dehydrocarnitine__snps_as_covariates_model,False,False,True
M32757_X-11440,Whole blood,24014485_Petersen-A-K_m32757_x-11440_no_snps_model,False,False,True
M32761_X-11444,Whole blood,24014485_Petersen-A-K_m32761_x-11444_no_snps_model,False,False,True
M32761_X-11444,Whole blood,24014485_Petersen-A-K_m32761_x-11444_snps_as_covariates_model,False,False,True
M32808_X-11491,Whole blood,24014485_Petersen-A-K_m32808_x-11491_no_snps_model,False,False,True
M32808_X-11491,Whole blood,24014485_Petersen-A-K_m32808_x-11491_snps_as_covariates_model,False,False,True
