target,drugs,note,best_outcome,best_or,best_fdr
TSLP,tezepelumab,approved anti-TSLP mAb,ALLERG_RHINITIS,2.085956102765701,0.7966196045700854
IL5,mepolizumab; reslizumab,approved anti-IL5 mAbs,L12_ATOPIC,0.8084727846152194,0.7445028621239614
IL13,lebrikizumab; tralokinumab,approved anti-IL13 mAbs,ALLERG_RHINITIS,1.7091160166349286,0.7966196045700854
IL4,dupilumab,acts via IL4RA blockade; ligand (IL4/IL13) vs receptor distinction,L12_ATOPIC,1.1411141117099532,0.7966196045700854
IL6,tocilizumab,acts via IL6R; direction depends on ligand-vs-receptor instrument,ALLERG_RHINITIS,0.5986944822686532,0.5489652801014233
IL1A,anakinra,IL1R1 antagonist; indirect for IL1A ligand,L12_ATOPIC,1.1665913493208389,0.7445028621239614
TNF,etanercept; infliximab; adalimumab,approved anti-TNF biologics,L12_ATOPIC,2.2611176967955213,0.00012716794945610843
IL33,itepekimab,investigational anti-IL33 mAb,L12_ATOPIC,0.7190469273730231,0.7966196045700854
IFNG,emapalumab,approved anti-IFN-gamma mAb,ALLERG_RHINITIS,1.3321164130943206,0.7777233436234617
IL18,tadekinig alfa,investigational IL-18BP,L12_ATOPIC,1.236479549423418,0.0008820492580277062
OSM,vixarelimab,investigational anti-OSMR mAb,L12_ATOPIC,0.775827438004852,0.5919719627862193
IL10,none marketed,,ALLERG_RHINITIS,1.1333703261393833,0.7966196045700854
IL17A,secukinumab; ixekizumab,approved anti-IL17A mAbs,ALLERG_RHINITIS,1.4325257166853218,0.7445028621239614
IL8,none marketed,anti-CXCL8 programmes discontinued pre-approval,ALLERG_RHINITIS,1.316946195408221,0.7445028621239614
CCL2,carlumab,anti-CCL2 mAb; development discontinued,ALLERG_RHINITIS,1.36044127037089,0.7445028621239614
S100A12,none marketed,,ALLERG_RHINITIS,1.1157032641545246,0.7445028621239614
IL2,aldesleukin,recombinant IL-2; approved (oncology),ALLERG_ASTHMA,0.7498241370261243,0.6653434499295083
IL7,none,,ALLERG_RHINITIS,0.6129422830044939,0.5919719627862193
TNFB,none,lymphotoxin-alpha; no approved drug,ALLERG_ASTHMA,1.016237307989494,0.7988161269291195
TRAIL,none,TNFSF10 agonists trialled in oncology; none approved,L12_ATOPIC,1.162823161038227,0.027177368196705576
VEGFA,bevacizumab,approved anti-VEGFA mAb (oncology/ophthalmology),ALLERG_RHINITIS,0.96300381590452,0.7445028621239614
