source,drug,target,r5_09_axis,ae_domain,n_drug_reports,n_domain_reports,n_overlap_reports,db_total_reports,ror,ror_lower,ror_upper,signal_ror_gt2,note
FAERS,dupilumab,IL4RA,"IL4/IL13 axis (R5-09 positive control: IL4, IL13)",ageing_general,515,7,0,385288,49.7597,2.8381,872.4198,False,
FAERS,dupilumab,IL4RA,"IL4/IL13 axis (R5-09 positive control: IL4, IL13)",immunosenescence,515,1323,3,385288,1.9831,0.6921,5.6819,False,
FAERS,dupilumab,IL4RA,"IL4/IL13 axis (R5-09 positive control: IL4, IL13)",infection,515,32796,93,385288,2.3824,1.9038,2.9815,True,
FAERS,dupilumab,IL4RA,"IL4/IL13 axis (R5-09 positive control: IL4, IL13)",malignancy,515,16566,30,385288,1.3989,0.97,2.0176,False,
FAERS,mepolizumab,IL5,IL5 axis (R5-09 positive control: IL5),ageing_general,471,7,0,385288,54.4094,3.1029,954.0582,False,
FAERS,mepolizumab,IL5,IL5 axis (R5-09 positive control: IL5),immunosenescence,471,1323,2,385288,1.5452,0.4453,5.3616,False,
FAERS,mepolizumab,IL5,IL5 axis (R5-09 positive control: IL5),infection,471,32796,144,385288,4.7587,3.9114,5.7895,True,
FAERS,mepolizumab,IL5,IL5 axis (R5-09 positive control: IL5),malignancy,471,16566,42,385288,2.2054,1.6086,3.0237,True,
FAERS,reslizumab,IL5,IL5 axis (R5-09 positive control: IL5),ageing_general,1,7,0,385288,17123.5778,644.518,454939.824,False,
FAERS,reslizumab,IL5,IL5 axis (R5-09 positive control: IL5),immunosenescence,1,1323,0,385288,96.7043,3.9375,2375.0639,False,
FAERS,reslizumab,IL5,IL5 axis (R5-09 positive control: IL5),infection,1,32796,0,385288,3.5826,0.1459,87.9509,False,
FAERS,reslizumab,IL5,IL5 axis (R5-09 positive control: IL5),malignancy,1,16566,0,385288,7.419,0.3022,182.1356,False,
FAERS,benralizumab,IL5RA,IL5 axis (R5-09 positive control: IL5),ageing_general,391,7,0,385288,65.5412,3.7367,1149.5855,False,
FAERS,benralizumab,IL5RA,IL5 axis (R5-09 positive control: IL5),immunosenescence,391,1323,2,385288,1.863,0.5366,6.4686,False,
FAERS,benralizumab,IL5RA,IL5 axis (R5-09 positive control: IL5),infection,391,32796,78,385288,2.6953,2.1041,3.4526,True,
FAERS,benralizumab,IL5RA,IL5 axis (R5-09 positive control: IL5),malignancy,391,16566,20,385288,1.2284,0.7873,1.9169,False,
FAERS,omalizumab,IGHE,IgE (background; not in INTERVAL pQTL panel),ageing_general,631,7,0,385288,40.6071,2.3166,711.7805,False,
FAERS,omalizumab,IGHE,IgE (background; not in INTERVAL pQTL panel),immunosenescence,631,1323,6,385288,3.0236,1.3935,6.5606,True,
FAERS,omalizumab,IGHE,IgE (background; not in INTERVAL pQTL panel),infection,631,32796,343,385288,12.9215,11.0448,15.1172,True,
FAERS,omalizumab,IGHE,IgE (background; not in INTERVAL pQTL panel),malignancy,631,16566,29,385288,1.0899,0.7529,1.5778,False,
FAERS,tezepelumab,TSLP,TSLP axis (R5-09 positive control: TSLP),ageing_general,287,7,0,385288,89.2741,5.0866,1566.8289,False,
FAERS,tezepelumab,TSLP,TSLP axis (R5-09 positive control: TSLP),immunosenescence,287,1323,1,385288,1.5189,0.305,7.5643,False,
FAERS,tezepelumab,TSLP,TSLP axis (R5-09 positive control: TSLP),infection,287,32796,70,385288,3.4891,2.6666,4.5653,True,
FAERS,tezepelumab,TSLP,TSLP axis (R5-09 positive control: TSLP),malignancy,287,16566,15,385288,1.2662,0.7588,2.1129,False,
FAERS,lebrikizumab,IL13,IL13 axis (R5-09 positive control: IL13),ageing_general,41,7,0,385288,618.8602,34.7782,11012.285,False,
FAERS,lebrikizumab,IL13,IL13 axis (R5-09 positive control: IL13),immunosenescence,41,1323,0,385288,3.495,0.2149,56.8465,False,
FAERS,lebrikizumab,IL13,IL13 axis (R5-09 positive control: IL13),infection,41,32796,2,385288,0.6802,0.1894,2.4423,False,
FAERS,lebrikizumab,IL13,IL13 axis (R5-09 positive control: IL13),malignancy,41,16566,2,385288,1.4087,0.3923,5.0582,False,
FAERS,tralokinumab,IL13,IL13 axis (R5-09 positive control: IL13),ageing_general,6,7,0,385288,3951.5436,203.908,76577.1738,False,
