drug,faers_n_reports,faers_n_events,faers_ror,faers_ror_lower,faers_ror_upper,prr,chi2,p_chi2,faers_signal,cv_top_pt,cv_max_ror,cv_ror_lower,cv_ror_upper,cv_top_pt_n,cv_signal,faers_ror_gt2,concordance,concordant
golimumab,594,360,12.910329337662656,10.94764323673101,15.224884479947953,5.69194792089741,1546.0245309221443,0.0,True,hypersensitivity,37.75104699660663,32.216097163873144,44.23693975377451,280,True,True,concordant_signal,True
tofacitinib,820,451,10.275339151238343,8.951159614770045,11.795409669463696,5.173902618057255,1682.4626618110046,0.0,True,hypersensitivity,18.477604542071326,16.438675367496604,20.769427096799525,398,True,True,concordant_signal,True
sarilumab,84,42,8.331718307129533,5.4316383725345725,12.780219371814514,4.665859153564766,135.36184467670324,0.0,True,hypersensitivity,8.826215282671173,5.907734139067695,13.1864559884125,28,True,True,concordant_signal,True
tocilizumab,1036,457,6.63257050135045,5.8645308740017255,7.501195304538732,4.147932741584856,1209.4116294401076,0.0,True,hypersensitivity,28.788184465212343,25.768940148058345,32.1611816412069,514,True,True,concordant_signal,True
certolizumab,1213,375,3.750016611901792,3.3186478944100064,4.237456047454373,2.899846595856308,518.0869784860669,0.0,True,hypersensitivity,2.960256741863569,2.653542059634445,3.3024236212618887,346,True,True,concordant_signal,True
abatacept,168,50,3.530293155328422,2.5357384033523958,4.914927244104489,2.7772297162425823,63.61920040302551,1.5543122344752194e-15,True,hypersensitivity,2.373683700257228,1.918508192841424,2.936851836176943,89,True,True,concordant_signal,True
adalimumab,2854,751,3.009185956984113,2.766871998942943,3.2727210102852045,2.480489862486892,729.8208143391156,0.0,True,hypersensitivity,4.802355311139057,4.44072865874148,5.193430697240922,710,True,True,concordant_signal,True
etanercept,619,150,2.668401729144746,2.2196362199433013,3.207898539466326,2.264104056492546,118.15437926379175,0.0,True,hypersensitivity,4.109157119407691,3.474209196138784,4.860148390242301,149,True,True,concordant_signal,True
quercetin,87,21,2.6494684129429893,1.6212435646006638,4.3298138690910974,2.251320864991233,16.351861632028186,5.2604464494732106e-05,True,angioedema,26.672997412228398,13.135673377059021,54.1615774487254,8,True,True,concordant_signal,True
infliximab,4074,970,2.639827699437437,2.454398058412352,2.8392665398476185,2.249392532904713,736.3028480517346,0.0,True,hypersensitivity,7.296235947992114,6.748770594714865,7.888112103034312,750,True,True,concordant_signal,True
azathioprine,2038,460,2.442652264878093,2.200587606480945,2.711344038084195,2.117029084385491,300.30795834573473,0.0,True,hypersensitivity,3.376844491165771,3.141009280145609,3.630386828079667,811,True,True,concordant_signal,True
methotrexate,7860,1535,2.059558042642763,1.94597714240264,2.1797683223438544,1.8526341755363205,649.6393756671604,0.0,True,hypersensitivity,3.4199582760478706,3.3191812233412485,3.5237951238270893,5929,True,True,concordant_signal,True
anakinra,245,39,1.576497408541676,1.119385511943458,2.2202753677092075,1.4847284333044295,6.906741197064758,0.0085871358533271,True,hypersensitivity,7.476470956982141,6.349467715845752,8.803512431616774,168,True,False,cv_only,False
cyclosporine,2131,215,0.93374567173803,0.8106707142504462,1.0755057067722675,0.9404301769357418,0.9039983185052938,0.3417118725633563,False,eczema,1.6459380636850862,0.7610992655732982,3.559472767913882,6,False,False,neither,False
dasatinib,260,25,0.8854909444632214,0.586217982972818,1.3375471846668427,0.8965014305725271,0.3343979327111156,0.5630808298497493,False,rash,1.1098856066111038,0.8003762611254032,1.539083702995399,38,False,False,neither,False
canakinumab,39,3,0.6936666021265954,0.2136061325745268,2.252619571856045,0.7172307096553188,0.3745967752800774,0.5405092318198548,False,angioedema,5.8102475954550625,1.1505541896355944,29.34149249518055,1,True,False,cv_only,False
upadacitinib,409,29,0.635016786735802,0.4352488156453437,0.9264730998483464,0.6608957920772732,5.648006252007484,0.0174752298658129,False,bronchospasm,192.6299640498286,7.844423671157325,4730.277787808946,0,False,False,neither,False
ruxolitinib,551,30,0.4789460470418956,0.331438578753254,0.6921020384528954,0.5073155907601227,16.06696939303648,6.114123776768121e-05,False,bronchospasm,1.2868107541045144,0.08020860313088053,20.644692118338494,0,False,False,neither,False
sirolimus,438,22,0.4399274195501101,0.2864911577928717,0.6755396430487464,0.4680589190247621,14.8897235844351,0.0001139822209141,False,anaphylaxis,1.0577095136219625,0.3691940939985854,3.030247323541138,3,False,False,neither,False
everolimus,484,17,0.3027378136559716,0.1865715230144913,0.4912335083960225,0.3272284276391297,26.328320343004005,2.880339610156213e-07,False,angioedema,5.999209176682457,1.1872513668632345,30.31414555510631,1,True,False,cv_only,False
baricitinib,98,3,0.2628180403086714,0.0832694303630677,0.8295159701527914,0.2853848349930998,6.012734009671626,0.0142030047439445,False,bronchospasm,4.344791625414175,0.26884274024188026,70.21656694648013,0,False,False,neither,False
