drug,n_trials,n_with_results,n_with_ae_module,n_allergy_events,n_allergy_affected,allergy_terms,note
abatacept,344,0,0,0,0,,no resultsSection/adverseEventsModule in dump
adalimumab,872,0,0,0,0,,no resultsSection/adverseEventsModule in dump
anakinra,583,0,0,0,0,,no resultsSection/adverseEventsModule in dump
azathioprine,473,0,0,0,0,,no resultsSection/adverseEventsModule in dump
baricitinib,202,0,0,0,0,,no resultsSection/adverseEventsModule in dump
canakinumab,125,0,0,0,0,,no resultsSection/adverseEventsModule in dump
certolizumab,201,0,0,0,0,,no resultsSection/adverseEventsModule in dump
cyclosporine,1000,0,0,0,0,,no resultsSection/adverseEventsModule in dump
dasatinib,448,0,0,0,0,,no resultsSection/adverseEventsModule in dump
etanercept,569,0,0,0,0,,no resultsSection/adverseEventsModule in dump
everolimus,1000,0,0,0,0,,no resultsSection/adverseEventsModule in dump
fisetin,34,0,0,0,0,,no resultsSection/adverseEventsModule in dump
golimumab,193,0,0,0,0,,no resultsSection/adverseEventsModule in dump
infliximab,746,0,0,0,0,,no resultsSection/adverseEventsModule in dump
methotrexate,1000,0,0,0,0,,no resultsSection/adverseEventsModule in dump
quercetin,154,0,0,0,0,,no resultsSection/adverseEventsModule in dump
ruxolitinib,491,0,0,0,0,,no resultsSection/adverseEventsModule in dump
sarilumab,83,0,0,0,0,,no resultsSection/adverseEventsModule in dump
sirolimus,1000,0,0,0,0,,no resultsSection/adverseEventsModule in dump
temsirolimus,1000,0,0,0,0,,no resultsSection/adverseEventsModule in dump
tocilizumab,693,0,0,0,0,,no resultsSection/adverseEventsModule in dump
tofacitinib,331,0,0,0,0,,no resultsSection/adverseEventsModule in dump
upadacitinib,171,0,0,0,0,,no resultsSection/adverseEventsModule in dump
