trait,outcome,outcome_pretty,scheme,k,fe_beta,fe_se,fe_p,re_beta,re_se,re_p,Q,Q_p,I2,tau2,re_or,re_or_lo,re_or_hi,fe_or,fe_or_lo,fe_or_hi,cohorts
GrimAge,ALLERG_ASTHMA,Asthma,primary,3,0.07798439610825557,0.01262100081416504,6.453375611670253e-10,0.07798439610825557,0.01262100081416504,6.453375611670253e-10,1.3625638060715817,0.5059679745829022,0.0,0.0,1.0811057890807707,1.0546903687472358,1.1081828011497326,1.0811057890807707,1.0546903687472358,1.1081828011497326,FinnGen R12 (discovery); HanY UKBB asthma 2020; TAGC EUR asthma 2018
GrimAge,ALLERG_ASTHMA,Asthma,all_cohorts,4,0.01194106198092467,0.0018716151201745633,1.7699064436271783e-10,0.05967884663348074,0.025688569136492118,0.020170160782969848,29.36059873257003,1.8808335844333612e-06,89.7822247178084,0.0021355518025468145,1.0614955889165192,1.0093729042339077,1.1163098202486663,1.012012641087989,1.0083070096537206,1.015731891096953,FinnGen R12 (discovery); HanY UKBB asthma 2020; TAGC EUR asthma 2018; UKBB Neale asthma 20002_1111
GrimAge,L12_ATOPIC,Atopic dermatitis,primary,2,0.004549366863343943,0.013170831679553801,0.7297844543329322,0.00024311047442228666,0.02513784197566272,0.9922837023716902,3.4485362918512816,0.06330781029693788,71.00219004906661,0.0009017337029867068,1.0002431400281686,0.9521553642181991,1.0507595469935678,1.00455973094348,0.9789590524417194,1.0308298907050704,FinnGen R12 (discovery); Budu-Aggrey AD EUR meta 2023
GrimAge,L12_ATOPIC,Atopic dermatitis,all_cohorts,3,0.0008578878495708887,0.012796694495046149,0.9465500180148256,-0.008421136755594635,0.023176660135826456,0.7163467570940754,4.851154123340287,0.08842707643972281,58.772697194314446,0.0008884868091643171,0.9916142216941407,0.9475767045596738,1.0376983308417256,1.000858255940605,0.9760674041147358,1.0262787633944166,"FinnGen R12 (discovery); EAGLE AD (EUR, Paternoster 2015); Budu-Aggrey AD EUR meta 2023"
GrimAge,ALLERG_RHINITIS,Allergic rhinitis,primary,2,0.0021923084307361434,0.002469683920716718,0.37470867873074454,0.0021923084307361434,0.002469683920716718,0.37470867873074454,0.006413995786178475,0.9361677233066709,0.0,0.0,1.0021947132959448,0.9973552315250745,1.0070576777569042,1.0021947132959448,0.9973552315250745,1.0070576777569042,FinnGen R12 (discovery); UKBB Neale hayfever/rhinitis/eczema
GrimAge,ALLERG_RHINITIS,Allergic rhinitis,all_cohorts,2,0.0021923084307361434,0.002469683920716718,0.37470867873074454,0.0021923084307361434,0.002469683920716718,0.37470867873074454,0.006413995786178475,0.9361677233066709,0.0,0.0,1.0021947132959448,0.9973552315250745,1.0070576777569042,1.0021947132959448,0.9973552315250745,1.0070576777569042,FinnGen R12 (discovery); UKBB Neale hayfever/rhinitis/eczema
Hannum,ALLERG_ASTHMA,Asthma,primary,3,0.010885134588060596,0.003154833448724086,0.0005599555302455705,0.015611974982681838,0.006767465487626108,0.021059498688783984,4.638725720106135,0.09833621958266436,56.88471100304159,7.480813462951662e-05,1.0157344785413516,1.0023505007326743,1.0292971671521405,1.0109445932080843,1.004712731179341,1.0172151091755506,FinnGen R12 (discovery); HanY UKBB asthma 2020; TAGC EUR asthma 2018
Hannum,ALLERG_ASTHMA,Asthma,all_cohorts,4,0.0008470247031094133,0.0004367531960888848,0.05245667489684025,0.009409468166834361,0.0049013144209621015,0.054885107164852176,14.960521630966992,0.0018506986225765854,79.94722327201306,6.0476991049819584e-05,1.009453876389058,0.9998029113262735,1.019198000939165,1.0008473835298377,0.9999909884793792,1.0017045119993881,FinnGen R12 (discovery); HanY UKBB asthma 2020; TAGC EUR asthma 2018; UKBB Neale asthma 20002_1111
Hannum,L12_ATOPIC,Atopic dermatitis,primary,2,0.012200338462248729,0.003063362745986657,6.814763614881869e-05,0.012200338462248729,0.003063362745986657,6.814763614881869e-05,0.5840336256980032,0.4447355974733509,0.0,0.0,1.0122750661834834,1.006215383310738,1.0183712419951438,1.0122750661834834,1.006215383310738,1.0183712419951438,FinnGen R12 (discovery); Budu-Aggrey AD EUR meta 2023
Hannum,L12_ATOPIC,Atopic dermatitis,all_cohorts,3,0.012191806758204774,0.002956961015644587,3.7382884278569506e-05,0.012191806758204774,0.002956961015644587,3.7382884278569506e-05,0.5841472583193938,0.7467135540577263,0.0,0.0,1.0122664297890493,1.0064166623011366,1.0181501988798216,1.0122664297890493,1.0064166623011366,1.0181501988798216,"FinnGen R12 (discovery); EAGLE AD (EUR, Paternoster 2015); Budu-Aggrey AD EUR meta 2023"
