cycle,decade,n,wmean,wsd,p25,median,p75
D,<20,3670,-0.13458653460296774,0.7043388750872378,-0.5735437267038822,-0.17659323911277472,0.23098173481391424
D,20-29,926,0.11711729245580514,0.5664556698641601,-0.2360855019103272,0.06218032118245047,0.40123754013212487
D,30-39,756,0.0848480943566814,0.47825604365609453,-0.20157679483097946,0.07134924149473205,0.33541989038712156
D,40-49,776,0.13186166843710198,0.48896650855418683,-0.1653883479483328,0.12595293112123512,0.3829000970016817
D,50-59,595,0.12103564613177749,0.5282382170787885,-0.20215320589492403,0.10167209782889387,0.385386963629515
D,60-69,628,0.17863647933252852,0.5691100661190402,-0.14971480192262915,0.17212303306846713,0.4741740513910504
D,70-79,449,0.25821248698644267,0.620483819383335,-0.05442058341811454,0.2502748641856887,0.5205723546360638
D,80+,327,0.26898255028213436,0.5452552001798865,-0.05499047577881262,0.22227887373169422,0.6049568083171538
J,<20,2337,-0.17504747171302773,0.6911539843601484,-0.591856419258641,-0.2102016694943162,0.14897198566311418
J,20-29,718,0.007089426939157077,0.5213983192637625,-0.306231665422427,-0.03189790590618319,0.3377286745837993
J,30-39,755,0.03279719650677347,0.48458850765590356,-0.2732102394196127,4.440245266223953e-05,0.3425723482815227
J,40-49,714,0.09889151864161173,0.5057050109083524,-0.18465865838470782,0.08165216598427547,0.3858748286097621
J,50-59,831,0.08458301764601914,0.564590357173032,-0.2861847025196412,0.02867720748783798,0.39148416117689994
J,60-69,994,0.18334859180717306,0.5622840353366453,-0.21720896349766686,0.15247540958071448,0.49559411963460537
J,70-79,537,0.26370558385531034,0.5503468837997094,-0.11884402987114456,0.21689228138068348,0.5539900248463175
J,80+,354,0.31712880148478756,0.6273810986573746,0.012924711865247532,0.32002176783718234,0.6111434810937394
