tissue,cell_type,score,n_cells,n_donors,age_range,slope_per_year,se,p,q
Blood,B cell,aging_sasp_score,1815,9,36.0,0.0006028319994327002,0.0003236605127939251,0.06252642625858362,0.2000845640274676
Blood,B cell,th2_score,1815,9,36.0,0.0003404088098201744,0.0008998102800835951,0.705199011020582,0.9232326575758685
Blood,B cell,alarmin_score,1815,9,36.0,0.000485151010394323,0.00016066494188134544,0.002530715277189556,0.012653576385947779
Blood,B cell,treg_score,1815,9,36.0,-0.0003255620580966932,0.0016996499345238558,0.8480974246335551,0.9232326575758685
Blood,B cell,targets_score,1815,9,36.0,-0.00012169878456456723,0.0005322450847800232,0.8191395780080861,0.9232326575758685
Blood,B cell,t2_receptor_score,1815,9,36.0,-0.0002835080326216633,0.0005021863326723395,0.5723815912662051,0.7894918500223519
Blood,"CD4-positive, alpha-beta T cell",aging_sasp_score,2343,8,36.0,-0.00036269496332923436,0.0011502453318071489,0.75251896168543,0.9232326575758685
Blood,"CD4-positive, alpha-beta T cell",th2_score,2343,8,36.0,-6.126550852831217e-05,0.0006575298114184958,0.9257643316828169,0.9382054883629489
Blood,"CD4-positive, alpha-beta T cell",alarmin_score,2343,8,36.0,0.0009802157526096265,0.0007364696068935481,0.1832003121671476,0.40711180481588355
Blood,"CD4-positive, alpha-beta T cell",treg_score,2343,8,36.0,0.013375053939780746,0.00928924337919223,0.1499117650964786,0.3548552215780809
Blood,"CD4-positive, alpha-beta T cell",targets_score,2343,8,36.0,-0.001033234683661877,0.001699508105064876,0.5432133261499199,0.7894918500223519
Blood,"CD4-positive, alpha-beta T cell",t2_receptor_score,2343,8,36.0,0.0017760833762429735,0.0013663434665516937,0.1936418923733525,0.4186851726991405
Blood,"CD8-positive, alpha-beta T cell",aging_sasp_score,2147,9,36.0,0.000398444871851794,0.0012898540476441104,0.7573923145560738,0.9232326575758685
Blood,"CD8-positive, alpha-beta T cell",th2_score,2147,9,36.0,0.0002509158310888653,0.0012998142300869261,0.8469278272406531,0.9232326575758685
Blood,"CD8-positive, alpha-beta T cell",alarmin_score,2147,9,36.0,0.0008430516289682422,8.58606754114305e-05,9.341874841164478e-23,7.473499872931583e-21
Blood,"CD8-positive, alpha-beta T cell",treg_score,2147,9,36.0,-0.002243239632039262,0.002753868225265987,0.4153140821358582,0.7222853602362751
Blood,"CD8-positive, alpha-beta T cell",targets_score,2147,9,36.0,0.0005785571568851057,0.0008578737181439151,0.5000517665967458,0.7693104101488396
Blood,"CD8-positive, alpha-beta T cell",t2_receptor_score,2147,9,36.0,-0.0012368323047852671,0.0017316218884946936,0.4750649739095303,0.7451999590737731
Blood,classical monocyte,aging_sasp_score,4939,9,36.0,0.0029276584912434024,0.0012861196255315557,0.022825065936259856,0.09610554078425203
Blood,classical monocyte,th2_score,4939,9,36.0,-0.000939723926454808,0.0005757748070677896,0.10265773995400909,0.29330782844002595
Blood,classical monocyte,alarmin_score,4939,9,36.0,0.00042074299965919537,0.00013517815273223806,0.001855053680227071,0.009893619627877713
Blood,classical monocyte,treg_score,4939,9,36.0,3.8745061492992836e-05,0.00011702938249316806,0.7405906832303091,0.9232326575758685
Blood,classical monocyte,targets_score,4939,9,36.0,-0.002256566208991059,0.0009025215945320586,0.012409148848323044,0.05515177265921353
Blood,classical monocyte,t2_receptor_score,4939,9,36.0,0.00016339314101140282,0.0007929600140039607,0.8367481803838017,0.9232326575758685
Blood,erythrocyte,aging_sasp_score,5484,8,36.0,0.001217665117493974,0.0001721991881917223,1.5353389345785853e-12,3.07067786915717e-11
Blood,erythrocyte,th2_score,5484,8,36.0,0.0003103907595941517,4.739512247420167e-05,5.792279280315609e-11,9.267646848504975e-10
Blood,erythrocyte,alarmin_score,5484,8,36.0,7.550113744368464e-05,1.1980462204046762e-05,2.937872851600394e-10,3.3575689732575934e-09
Blood,erythrocyte,treg_score,5484,8,36.0,-1.1285468614593728e-05,6.664454576561839e-05,0.8655306164773767,0.9232326575758685
Blood,erythrocyte,targets_score,5484,8,36.0,0.0006096399417202698,9.655264243351423e-05,2.71794567677719e-10,3.3575689732575934e-09
