tissue,cell_type,gene,n_cells,n_donors,age_range,frac_detected,slope_per_year,se,p,q
Blood,B cell,STAT6,1815,9,36.0,0.3867768595041322,-0.0009228103308527249,0.0008920109577762831,0.30088938411734023,0.5621442236513435
Blood,B cell,IL4R,1815,9,36.0,0.6044077134986225,-0.0012827364312584754,0.002454157340539785,0.6011976752323663,0.7651606775684663
Blood,B cell,IL2RA,1815,9,36.0,0.09696969696969697,0.0005627160601411775,0.0008329642245016662,0.4993209990537931,0.7133157129339902
Blood,"CD4-positive, alpha-beta T cell",GATA3,2343,8,36.0,0.3542466922748613,-0.003259770196376538,0.002378396453047785,0.17050754917408206,0.3729852638183045
Blood,"CD4-positive, alpha-beta T cell",STAT6,2343,8,36.0,0.2987622705932565,-0.0030727464821593206,0.001666850799159503,0.06526417783155795,0.16920342400774283
Blood,"CD4-positive, alpha-beta T cell",FOXP3,2343,8,36.0,0.06103286384976526,0.0004638624630033837,0.00043904293550642965,0.29072569466382314,0.5621442236513435
Blood,"CD4-positive, alpha-beta T cell",CDKN2A,2343,8,36.0,0.05761843790012804,6.736787223907462e-05,0.0007102933146355932,0.9244378281487129,0.95024239044205
Blood,"CD4-positive, alpha-beta T cell",IL4R,2343,8,36.0,0.39223218096457535,0.006888609825804854,0.001087129947520037,2.350278753155298e-10,8.225975636043544e-09
Blood,"CD4-positive, alpha-beta T cell",IL2RA,2343,8,36.0,0.30985915492957744,0.006243184684612117,0.001593555799554305,8.937201512607068e-05,0.0008937201512607068
Blood,"CD8-positive, alpha-beta T cell",GATA3,2147,9,36.0,0.2966930600838379,0.0011237047112367068,0.0010572750758984666,0.28785860492315896,0.5621442236513435
Blood,"CD8-positive, alpha-beta T cell",STAT6,2147,9,36.0,0.3022822543083372,0.0029511597463423534,0.0011994853326429778,0.013879964273606483,0.05831888998638127
Blood,"CD8-positive, alpha-beta T cell",IL18,2147,9,36.0,0.09874243129948766,0.003232156554957043,0.0009498337869736688,0.0006668311606781281,0.004243471022497179
Blood,"CD8-positive, alpha-beta T cell",TNFSF14,2147,9,36.0,0.11318118304611086,-0.0005764586937580183,0.0014533707282183587,0.6916361339839898,0.8024449041035943
