tissue,cell_type,gene,n_cells,frac_detected,mean_expr
Blood,B cell,IL18,1815,0.022589531680440773,0.018999752952376017
Blood,"CD4-positive, alpha-beta T cell",IL18,2343,0.020486555697823303,0.014346073145393443
Blood,"CD8-positive, alpha-beta T cell",IL18,2147,0.09874243129948766,0.09421330070080566
Blood,classical monocyte,IL18,4939,0.49605183235472766,0.36253031898809607
Blood,erythrocyte,IL18,5484,0.0036469730123997084,0.0025338414570087067
Blood,hematopoietic precursor cell,IL18,62,0.45161290322580644,0.42145383574308887
Blood,intermediate monocyte,IL18,464,0.6271551724137931,0.39512913648424475
Blood,macrophage,IL18,574,0.2804878048780488,0.21789854453415822
Blood,mature NK T cell,IL18,99,0.5555555555555556,0.6252139451527836
Blood,monocyte,IL18,4499,0.3656368081795955,0.27057369154072497
Blood,"naive thymus-derived CD4-positive, alpha-beta T cell",IL18,230,0.004347826086956522,0.0028628193813821545
Blood,natural killer cell,IL18,1408,0.13636363636363635,0.13109337065411222
Blood,neutrophil,IL18,15117,0.05543427928821856,0.06864320000477976
Blood,non-classical monocyte,IL18,158,0.36075949367088606,0.19037186599607708
Blood,plasma cell,IL18,374,0.07219251336898395,0.03478696265003898
Blood,platelet,IL18,206,0.024271844660194174,0.02599223927386756
Blood,B cell,TNFSF14,1815,0.0011019283746556473,0.0007282892534555482
Blood,"CD4-positive, alpha-beta T cell",TNFSF14,2343,0.04822876653862569,0.035460028131987315
Blood,"CD8-positive, alpha-beta T cell",TNFSF14,2147,0.11318118304611086,0.10604401578945397
Blood,classical monocyte,TNFSF14,4939,0.07511642032800162,0.039973388876864774
Blood,erythrocyte,TNFSF14,5484,0.004558716265499635,0.0033789205342465993
Blood,hematopoietic precursor cell,TNFSF14,62,0.0,0.0
Blood,intermediate monocyte,TNFSF14,464,0.07543103448275862,0.033945827873359466
Blood,macrophage,TNFSF14,574,0.017421602787456445,0.005906561292214676
Blood,mature NK T cell,TNFSF14,99,0.10101010101010101,0.08070725172457069
Blood,monocyte,TNFSF14,4499,0.0484552122693932,0.025400624807864414
Blood,"naive thymus-derived CD4-positive, alpha-beta T cell",TNFSF14,230,0.013043478260869565,0.008744869802309119
Blood,natural killer cell,TNFSF14,1408,0.08522727272727272,0.08356195533732799
Blood,neutrophil,TNFSF14,15117,0.170536482106238,0.21944574246119827
Blood,non-classical monocyte,TNFSF14,158,0.012658227848101266,0.00904029758670662
Blood,plasma cell,TNFSF14,374,0.016042780748663103,0.015130820918210688
Blood,platelet,TNFSF14,206,0.0,0.0
Blood,B cell,IL4,1815,0.0,0.0
Blood,"CD4-positive, alpha-beta T cell",IL4,2343,0.002134016218523261,0.0008536721744689482
Blood,"CD8-positive, alpha-beta T cell",IL4,2147,0.0,0.0
Blood,classical monocyte,IL4,4939,0.00020247013565499088,4.306131995359059e-06
Blood,erythrocyte,IL4,5484,0.0,0.0
Blood,hematopoietic precursor cell,IL4,62,0.0,0.0
Blood,intermediate monocyte,IL4,464,0.0,0.0
Blood,macrophage,IL4,574,0.0,0.0
Blood,mature NK T cell,IL4,99,0.0,0.0
Blood,monocyte,IL4,4499,0.0004445432318292954,4.637805994655535e-05
Blood,"naive thymus-derived CD4-positive, alpha-beta T cell",IL4,230,0.0,0.0
Blood,natural killer cell,IL4,1408,0.0,0.0
Blood,neutrophil,IL4,15117,0.00019845207382417147,0.00016693054955496298
Blood,non-classical monocyte,IL4,158,0.0,0.0
Blood,plasma cell,IL4,374,0.00267379679144385,0.0004891811367024713
Blood,platelet,IL4,206,0.0,0.0
Blood,B cell,TSLP,1815,0.0,0.0
Blood,"CD4-positive, alpha-beta T cell",TSLP,2343,0.0008536064874093043,0.0006286519946474018
Blood,"CD8-positive, alpha-beta T cell",TSLP,2147,0.0004657661853749418,0.0003848630825641492
Blood,classical monocyte,TSLP,4939,0.002024701356549909,0.0009786345081233766
Blood,erythrocyte,TSLP,5484,0.00018234865061998541,9.593466482920684e-05
Blood,hematopoietic precursor cell,TSLP,62,0.016129032258064516,0.023733652407123197
Blood,intermediate monocyte,TSLP,464,0.0,0.0
Blood,macrophage,TSLP,574,0.0,0.0
Blood,mature NK T cell,TSLP,99,0.0,0.0
Blood,monocyte,TSLP,4499,0.0013336296954878863,0.00028073997480020996
Blood,"naive thymus-derived CD4-positive, alpha-beta T cell",TSLP,230,0.0,0.0
Blood,natural killer cell,TSLP,1408,0.0007102272727272727,0.000598866915838285
