trait1,trait2,n_snps,rg,rg_se,p,gencov,intercept,q
Frailty,ADULT_ONSET_ASTHMA,1156835,0.4866291429022408,0.036888819364955736,9.784890195836285e-40,0.03209389348351904,0.10852175951732783,1.0763379215419913e-38
Frailty,CHILD_ONSET_ASTHMA,1156855,0.20881566203367607,0.03021897810874219,4.843685130709093e-12,0.01798627965947269,0.048726039665128264,1.7760178812600008e-11
GrimAge,ADULT_ONSET_ASTHMA,1163142,0.08281200490994103,0.06408947007643022,0.1963117070997511,0.005303255597714295,-0.0002984482137520751,0.2699285972621578
GrimAge,CHILD_ONSET_ASTHMA,1163158,0.05681648288535482,0.07260570945354616,0.43390043454018645,0.004752012620917739,-0.002350963006465393,0.5303227533268946
Hannum,ADULT_ONSET_ASTHMA,1163101,0.10318776404918573,0.05395949429687218,0.05583529530900063,0.007051088682212726,-9.50843196472442e-05,0.08774117834271529
Hannum,CHILD_ONSET_ASTHMA,1163117,0.008496921195926899,0.05315088595297104,0.8729880895425015,0.0007583043457866156,0.006591751933532888,0.8729880895425015
IEAA,ADULT_ONSET_ASTHMA,1163152,0.15341834133250531,0.05742898953295241,0.007552562702937398,0.012304500850675998,-0.011215007503869402,0.018258613772677124
IEAA,CHILD_ONSET_ASTHMA,1163168,0.13013579496959823,0.049854686090101435,0.009046227931247678,0.013631305980742695,-0.012978590172586275,0.018258613772677124
PhenoAge,ADULT_ONSET_ASTHMA,1163151,0.19163825312798943,0.07435790479038473,0.009959243876005703,0.011795189693451285,-0.00727102940037263,0.018258613772677124
PhenoAge,CHILD_ONSET_ASTHMA,1163167,0.013051335557124448,0.06962205129166585,0.8513001427308982,0.0010491356906870465,0.006470647730931659,0.8729880895425015
ADULT_ONSET_ASTHMA,CHILD_ONSET_ASTHMA,1165774,0.7227418132589214,0.08156603831084182,7.94295116614723e-19,0.037038957959841676,0.10150068614421578,4.368623141380977e-18
