exposure,outcome,group,n_snp,b_ivw,se_ivw,p_ivw,q
IL18,VEGFA,other,3,0.11936590481727724,0.0429106611623249,0.005406988093972243,0.24331446422875094
IL18,IL33,readout,3,0.11273138370814796,0.04703169718861428,0.01653337180526472,0.3021421305723109
IL18,MMP10,other,3,-0.10013278265319499,0.04312755787103612,0.020244683096881006,0.3021421305723109
IL18,OSM,alarmin,3,0.1008340507357349,0.04325428721367482,0.01974323485292579,0.3021421305723109
IL18,SCF,other,3,-0.09470550144403193,0.04278369194803443,0.0268570782730943,0.3021421305723109
IL18,SLAMF1,other,3,0.09547555488798835,0.0429106611623249,0.026082280395489883,0.3021421305723109
IL18,IL17C,other,3,-0.09560360555971589,0.047507752318609354,0.04417999500772293,0.31502297661088735
IL18,IL2,other,3,0.08640232562570051,0.047164336137743415,0.06696007061684815,0.3544944915009608
IL18,IL22RA1,other,3,0.08248386464020904,0.048537800555023075,0.08924878278811556,0.4462439139405778
IL18,CASP8,other,3,-0.07094655097865908,0.04325428721367482,0.10095941307245716,0.4543173588260572
IL18,CST5,other,3,0.06536346987651137,0.04222328389067081,0.12161188240811178,0.4955439127177796
IL18,CX3CL1,other,3,-0.06268448473411693,0.04222328389067081,0.13765108686604988,0.4955439127177796
IL18,IL20,other,3,0.0702865323318604,0.04668846895723496,0.13221185226945684,0.4955439127177796
IL18,CCL2_MCP1,inflammation,3,0.06143742204505539,0.0429106611623249,0.15221482807462364,0.5073827602487454
IL18,IL13,type2,3,0.06600700071406565,0.04759411695521679,0.16548046052545518,0.513560049906585
IL18,IL10,inflammation,3,0.05752699634834563,0.04312755787103612,0.18224311525143644,0.5467293457543093
IL18,IL17A,inflammation,3,-0.0602215759525988,0.04759411695521679,0.20575823691044637,0.5776315023711452
IL18,IL6,inflammation,3,0.054681196592104235,0.04312755787103612,0.20483560224919717,0.5776315023711452
IL18,LAP_TGFB1,other,3,-0.05245000538593371,0.04256699371877977,0.21788354531253562,0.5776315023711452
IL18,NRTN,negative_control,3,0.05548202551059384,0.04703169718861428,0.23813027793071906,0.5953256948267976
IL18,IL24,other,3,0.04763324669217005,0.04841321595414441,0.32516992966386105,0.6651203106760794
