scope,cpg,gene,in_type2_panel,type2_match
all_tissues,cg00010445,RFX1,False,
all_tissues,cg00014561,NUP93,False,
all_tissues,cg00019841,MAPK4,False,
all_tissues,cg00021513,-,False,
all_tissues,cg00028211,-,False,
all_tissues,cg00040588,MXRA8,False,
all_tissues,cg00052385,ST3GAL1,False,
all_tissues,cg00055764,RIMBP2,False,
all_tissues,cg00057667,-,False,
all_tissues,cg00058708,UBXN2A,False,
all_tissues,cg00068153,CACNA1S,False,
all_tissues,cg00068428,-,False,
all_tissues,cg00073543,-,False,
all_tissues,cg00085732,SLC13A2,False,
all_tissues,cg00095018,MAPK13,False,
all_tissues,cg00095523,-,False,
all_tissues,cg00095688,PRKCZ,False,
all_tissues,cg00109344,RGS3,False,
all_tissues,cg00110695,FBXL4,False,
all_tissues,cg00113315,SLC2A5,False,
all_tissues,cg00114012,SLC2A8,False,
all_tissues,cg00115178,CAMK1D,False,
all_tissues,cg00115288,EPS8L2,False,
all_tissues,cg00127505,-,False,
all_tissues,cg00138126,PMEPA1,False,
all_tissues,cg00144186,FJX1,False,
all_tissues,cg00145969,FAM5C,False,
all_tissues,cg00152644,SPRR2E,False,
all_tissues,cg00153082,-,False,
all_tissues,cg00154119,-,False,
all_tissues,cg00170714,MLX;PSMC3IP,False,
all_tissues,cg00178661,IGSF3,False,
all_tissues,cg00186499,RBM38,False,
all_tissues,cg00192031,-,False,
all_tissues,cg00193959,DOCK1,False,
all_tissues,cg00199059,TP53RK,False,
all_tissues,cg00204465,MYO15B,False,
all_tissues,cg00207280,TRIB1,False,
all_tissues,cg00217953,SEMA4C,False,
all_tissues,cg00220721,PRR5L,False,
all_tissues,cg00234261,WDR86,False,
all_tissues,cg00240195,NR4A2,False,
all_tissues,cg00248521,CASKIN1,False,
all_tissues,cg00249503,DNAH17,False,
all_tissues,cg00250430,DMRT2,False,
all_tissues,cg00253564,PLEKHG5,False,
all_tissues,cg00255699,TRIT1,False,
all_tissues,cg00261325,AACSL,False,
all_tissues,cg00263619,CCDC41,False,
all_tissues,cg00269606,CRH,False,
all_tissues,cg00288376,-,False,
all_tissues,cg00289503,COL9A3,False,
all_tissues,cg00290086,DMRT2,False,
all_tissues,cg00291837,-,False,
all_tissues,cg00295182,PANK4,False,
all_tissues,cg00295259,GLI2,False,
all_tissues,cg00299972,TLX1,False,
all_tissues,cg00308159,MN1,False,
all_tissues,cg00308936,DDAH1,False,
all_tissues,cg00313722,C19orf6,False,
all_tissues,cg00316485,ZNF423,False,
all_tissues,cg00318573,CHRNA4,False,
all_tissues,cg00327072,NEURL1B,False,
all_tissues,cg00327332,CSTT,False,
all_tissues,cg00328058,PLEKHN1;KLHL17,False,
all_tissues,cg00329656,-,False,
all_tissues,cg00330825,RPLP2;SNORA52,False,
all_tissues,cg00333678,-,False,
all_tissues,cg00344900,-,False,
all_tissues,cg00345314,SGK3,False,
all_tissues,cg00347620,TBX3,False,
all_tissues,cg00348891,-,False,
all_tissues,cg00349061,SLC30A2,False,
all_tissues,cg00349895,TRIM2,False,
all_tissues,cg00352005,KDM3A,False,
all_tissues,cg00353923,LRRC4;SND1,False,
all_tissues,cg00362818,CLN5,False,
all_tissues,cg00363312,HIPK2,False,
all_tissues,cg00367135,BEST1,False,
all_tissues,cg00367962,-,False,
all_tissues,cg00375250,OLFML2A,False,
all_tissues,cg00390694,TCEA2,False,
all_tissues,cg00391067,LOC100271715,False,
all_tissues,cg00394823,ACSM3,False,
all_tissues,cg00397179,-,False,
all_tissues,cg00397422,SLFN14,False,
all_tissues,cg00400096,-,False,
all_tissues,cg00401091,NFATC2,False,
all_tissues,cg00409201,ZSCAN1,False,
all_tissues,cg00409356,IRX4,False,
all_tissues,cg00414077,C20orf118,False,
all_tissues,cg00425678,-,False,
all_tissues,cg00427635,TBC1D21,False,
all_tissues,cg00428193,PEG3;ZIM2,False,
all_tissues,cg00432659,-,False,
all_tissues,cg00438309,-,False,
all_tissues,cg00451397,GTF2A1L;STON1-GTF2A1L,False,
all_tissues,cg00456557,C6orf147,False,
all_tissues,cg00456651,SDC3,False,
all_tissues,cg00458016,PRR12,False,
all_tissues,cg00459232,CD9,False,
all_tissues,cg00460916,ITGAE,False,
all_tissues,cg00461060,GALNT9,False,
all_tissues,cg00463746,ROR1,False,
all_tissues,cg00465927,PAQR7,False,
all_tissues,cg00471190,IL32,False,
all_tissues,cg00476243,-,False,
all_tissues,cg00476771,-,False,
all_tissues,cg00486998,MECOM,False,
all_tissues,cg00489394,HRASLS5,False,
all_tissues,cg00492574,KLF4,False,
all_tissues,cg00495311,LRRC58,False,
all_tissues,cg00498401,EVPL,False,
all_tissues,cg00500936,CAMKK2,False,
all_tissues,cg00507008,-,False,
all_tissues,cg00510552,NMRAL1,False,
all_tissues,cg00514723,CHD6,False,
all_tissues,cg00516481,PDE9A,False,
all_tissues,cg00525496,NEDD9,False,
all_tissues,cg00528616,ZNRF1,False,
all_tissues,cg00530720,DGKZ,False,
all_tissues,cg00545796,IFT140,False,
all_tissues,cg00549219,-,False,
all_tissues,cg00554993,CEBPE,False,
all_tissues,cg00559992,PIK3R1,False,
all_tissues,cg00567703,HOXC4;HOXC5;HOXC6,False,
all_tissues,cg00567854,BTG2,False,
all_tissues,cg00573504,-,False,
all_tissues,cg00578220,KHDRBS2,False,
all_tissues,cg00581422,-,False,
all_tissues,cg00582663,CHD3,False,
all_tissues,cg00583733,ALDOA,False,
all_tissues,cg00585790,LIMS1,False,
all_tissues,cg00587115,-,False,
all_tissues,cg00587472,-,False,
all_tissues,cg00594191,-,False,
all_tissues,cg00609333,MGST1,False,
all_tissues,cg00615941,-,False,
all_tissues,cg00625783,-,False,
all_tissues,cg00631287,-,False,
all_tissues,cg00632466,-,False,
all_tissues,cg00634542,SLC11A1,False,
all_tissues,cg00637085,-,False,
all_tissues,cg00639200,-,False,
all_tissues,cg00653700,-,False,
all_tissues,cg00659931,PCSK6,False,
all_tissues,cg00660608,-,False,
all_tissues,cg00666105,SOX2OT;SOX2,False,
all_tissues,cg00676801,STAT1,False,
all_tissues,cg00689772,-,False,
all_tissues,cg00690609,-,False,
all_tissues,cg00699617,MAPT,False,
all_tissues,cg00707777,TKT,False,
all_tissues,cg00711896,ZNF48,False,
all_tissues,cg00714309,RAB3B,False,
all_tissues,cg00716040,RCAN3,False,
all_tissues,cg00716470,-,False,
all_tissues,cg00723994,-,False,
all_tissues,cg00725472,TNS3,False,
all_tissues,cg00727912,SLC17A9,False,
all_tissues,cg00739353,-,False,
all_tissues,cg00741609,TLX1,False,
all_tissues,cg00741954,GMDS,False,
all_tissues,cg00746386,-,False,
all_tissues,cg00751072,SSBP4,False,
all_tissues,cg00753399,MOBKL1B,False,
all_tissues,cg00754604,RBMS1,False,
all_tissues,cg00760950,-,False,
all_tissues,cg00765922,BCAN,False,
all_tissues,cg00771722,IL3,False,
all_tissues,cg00778807,-,False,
all_tissues,cg00790307,SMCR5;RAI1,False,
all_tissues,cg00793186,NRG2,False,
all_tissues,cg00803453,SPEG,False,
all_tissues,cg00804043,PIK3R6,False,
all_tissues,cg00805874,ZBTB12,False,
all_tissues,cg00807464,CUX2,False,
all_tissues,cg00809021,-,False,
all_tissues,cg00809164,MT1L,False,
all_tissues,cg00816039,TNFSF13;TNFSF12-TNFSF13,False,
all_tissues,cg00819338,-,False,
all_tissues,cg00820919,PLEKHH2,False,
all_tissues,cg00821731,WNT10A,False,
all_tissues,cg00832457,BICD1,False,
all_tissues,cg00832924,CTTNBP2,False,
all_tissues,cg00841408,CAMK1,False,
all_tissues,cg00841968,ACTN1,False,
all_tissues,cg00843623,ZNF433,False,
all_tissues,cg00847453,DDO,False,
all_tissues,cg00848007,IFNG,False,
all_tissues,cg00849642,CORO1C,False,
all_tissues,cg00850073,-,False,
all_tissues,cg00850083,C21orf88,False,
all_tissues,cg00858400,SLC7A5,False,
all_tissues,cg00859314,-,False,
all_tissues,cg00864768,MBOAT7,False,
all_tissues,cg00872232,-,False,
all_tissues,cg00879541,C14orf166,False,
all_tissues,cg00882883,-,False,
all_tissues,cg00883689,SPTBN1,False,
all_tissues,cg00888479,SLC24A3,False,
all_tissues,cg00892324,LFNG,False,
all_tissues,cg00897276,SRGAP3,False,
all_tissues,cg00898683,DNMT3A,False,
all_tissues,cg00907288,SRGAP3,False,
all_tissues,cg00909275,ATXN2,False,
all_tissues,cg00910972,MAPK15,False,
all_tissues,cg00922310,DCHS1,False,
all_tissues,cg00923890,-,False,
all_tissues,cg00926318,ENTPD6,False,
all_tissues,cg00931957,-,False,
all_tissues,cg00940546,ZNF704,False,
all_tissues,cg00944309,-,False,
all_tissues,cg00956964,SLMO1,False,
all_tissues,cg00965133,BLCAP,False,
all_tissues,cg00971695,-,False,
all_tissues,cg00986133,KCNMA1,False,
all_tissues,cg01000631,-,False,
all_tissues,cg01013023,GLI3,False,
all_tissues,cg01013155,-,False,
all_tissues,cg01015899,PXN,False,
all_tissues,cg01022117,PKP1,False,
all_tissues,cg01026233,-,False,
all_tissues,cg01026730,ARSB,False,
all_tissues,cg01028389,-,False,
all_tissues,cg01030534,FAM115A,False,
all_tissues,cg01034411,-,False,
all_tissues,cg01040749,INPP5A,False,
all_tissues,cg01040850,MR1,False,
all_tissues,cg01048107,MSC,False,
all_tissues,cg01049530,BMP3,False,
all_tissues,cg01064902,SIRT5,False,
all_tissues,cg01067137,ZNF646,False,
all_tissues,cg01074622,-,False,
all_tissues,cg01080998,LOC645323,False,
all_tissues,cg01081303,HAUS3,False,
all_tissues,cg01092213,UPP1,False,
all_tissues,cg01105256,SUOX,False,
all_tissues,cg01107142,GDNF,False,
all_tissues,cg01116831,-,False,
all_tissues,cg01119452,ELMO1,False,
all_tissues,cg01142328,EVPLL,False,
all_tissues,cg01161042,ZFYVE28,False,
all_tissues,cg01166488,LOC153328,False,
all_tissues,cg01171355,SLC12A7,False,
all_tissues,cg01172150,-,False,
all_tissues,cg01175020,TLX1,False,
all_tissues,cg01177100,SRGAP3,False,
all_tissues,cg01183122,KCNE1,False,
all_tissues,cg01208318,-,False,
all_tissues,cg01223986,SNX29,False,
all_tissues,cg01231183,-,False,
all_tissues,cg01232717,TCEB1,False,
all_tissues,cg01233934,PRDM13,False,
all_tissues,cg01238343,NGDN,False,
all_tissues,cg01242348,CEBPE,False,
all_tissues,cg01243586,SAA2,False,
all_tissues,cg01248445,PPP1R3D,False,
all_tissues,cg01256260,-,False,
all_tissues,cg01273330,-,False,
all_tissues,cg01273672,PARD3B,False,
all_tissues,cg01280180,TXNDC6,False,
all_tissues,cg01289206,HCCA2,False,
all_tissues,cg01289421,B3GNT3,False,
all_tissues,cg01298987,HIRIP3,False,
all_tissues,cg01301339,-,False,
all_tissues,cg01303372,BAG3,False,
all_tissues,cg01311045,CATSPER1,False,
all_tissues,cg01311995,-,False,
all_tissues,cg01323964,SNORA22;CCT6P1,False,
all_tissues,cg01327169,-,False,
all_tissues,cg01330312,NCOA4,False,
all_tissues,cg01330991,DNAH2,False,
all_tissues,cg01332882,ZNFX1,False,
all_tissues,cg01339704,SMTNL2,False,
all_tissues,cg01349903,WBSCR17,False,
all_tissues,cg01359822,ETS2,False,
all_tissues,cg01360586,KCNJ6,False,
all_tissues,cg01364755,ADARB2,False,
all_tissues,cg01376665,PHGR1,False,
all_tissues,cg01377358,ASXL1,False,
all_tissues,cg01383881,-,False,
all_tissues,cg01383911,TRIM39,False,
all_tissues,cg01385679,ELMO2,False,
all_tissues,cg01404163,TOX3,False,
all_tissues,cg01415562,-,False,
all_tissues,cg01417394,INPP4B,False,
all_tissues,cg01418351,MAEA,False,
all_tissues,cg01425731,ARL11,False,
all_tissues,cg01435678,IL6R,False,
all_tissues,cg01445399,LOC339524,False,
all_tissues,cg01450600,FAM160B1,False,
all_tissues,cg01457778,-,False,
all_tissues,cg01465769,PRKCD,False,
all_tissues,cg01471293,RGL2,False,
all_tissues,cg01471572,-,False,
all_tissues,cg01472101,CLEC10A,False,
all_tissues,cg01498437,-,False,
all_tissues,cg01499988,MSMP,False,
all_tissues,cg01515543,LOC100129066,False,
all_tissues,cg01518279,-,False,
all_tissues,cg01519765,ETV5,False,
all_tissues,cg01520924,HSPA2,False,
all_tissues,cg01521397,TAF4,False,
all_tissues,cg01526089,P2RX1,False,
all_tissues,cg01544270,EXD3,False,
all_tissues,cg01545587,TMEM121,False,
all_tissues,cg01550148,H2AFY,False,
all_tissues,cg01557792,KIAA0247,False,
all_tissues,cg01559259,CHST1,False,
all_tissues,cg01559912,PCSK4,False,
all_tissues,cg01561108,-,False,
all_tissues,cg01567656,MYO7A,False,
all_tissues,cg01578324,CLIC1,False,
all_tissues,cg01580044,PHTF1,False,
all_tissues,cg01586506,SOX10,False,
all_tissues,cg01588748,SYT1,False,
all_tissues,cg01590076,-,False,
all_tissues,cg01591037,PDE6H,False,
all_tissues,cg01595951,-,False,
all_tissues,cg01601476,EPB41L4B,False,
all_tissues,cg01606027,LIMK2,False,
all_tissues,cg01612824,-,False,
all_tissues,cg01618851,CD209,False,
all_tissues,cg01631162,RNF39,False,
all_tissues,cg01641136,CISH,False,
all_tissues,cg01642901,SH3RF1,False,
all_tissues,cg01646665,TMEM79;SMG5,False,
all_tissues,cg01647561,-,False,
all_tissues,cg01650864,-,False,
all_tissues,cg01665970,C6orf10,False,
all_tissues,cg01673865,SPTB,False,
all_tissues,cg01681881,MIR130A,False,
all_tissues,cg01682208,-,False,
all_tissues,cg01682504,-,False,
all_tissues,cg01684586,IGFBP7,False,
all_tissues,cg01686177,-,False,
all_tissues,cg01692482,ZNF217,False,
all_tissues,cg01692842,ACAD8,False,
all_tissues,cg01704609,TNFRSF19,False,
all_tissues,cg01709846,TEKT5,False,
all_tissues,cg01710852,SMAD3,False,
all_tissues,cg01711344,UNC93B1,False,
all_tissues,cg01753359,ZNF572,False,
all_tissues,cg01761256,-,False,
all_tissues,cg01764046,HCRTR1,False,
all_tissues,cg01770400,SERPINC1,False,
all_tissues,cg01777397,CLIP4,False,
all_tissues,cg01798341,TBCD,False,
all_tissues,cg01798813,-,False,
all_tissues,cg01800926,CLSTN1,False,
all_tissues,cg01802640,-,False,
all_tissues,cg01813965,CCDC135,False,
all_tissues,cg01814098,ALDH7A1,False,
all_tissues,cg01816726,ST8SIA6,False,
all_tissues,cg01819568,KIT,False,
all_tissues,cg01821751,-,False,
all_tissues,cg01822050,-,False,
