gene,ensembl_id,chr,start,end,strand,source
ADA,ENSG00000196839,20,44584896,44652252,-1,ensembl_rest
ARTN,ENSG00000117407,1,43933272,43937244,1,ensembl_rest
CASP8,ENSG00000064012,2,201233443,201361836,1,ensembl_rest
CCL2,ENSG00000108691,17,34255274,34257208,1,ensembl_rest
CCL3,ENSG00000277632,17,36088256,36090169,-1,ensembl_rest
CD274,ENSG00000120217,9,5450503,5470566,1,ensembl_rest
CST5,ENSG00000170367,20,23875934,23880086,-1,ensembl_rest
CX3CL1,ENSG00000006210,16,57372457,57385044,1,ensembl_rest
CXCL8,ENSG00000169429,4,73740519,73747379,1,ensembl_rest
GDNF,ENSG00000168621,5,37812677,37840063,-1,ensembl_rest
HGF,ENSG00000019991,7,81699010,81770438,-1,ensembl_rest
IL10,ENSG00000136634,1,206767602,206774541,-1,ensembl_rest
IL17A,ENSG00000112115,6,52186375,52190638,1,ensembl_rest
IL17C,ENSG00000124391,16,88638571,88640468,1,ensembl_rest
IL18,ENSG00000150782,11,112142701,112164391,-1,ensembl_rest
IL1A,ENSG00000115008,2,112773916,112784500,-1,ensembl_rest
IL20,ENSG00000162891,1,206865621,206869223,1,ensembl_rest
IL22RA1,ENSG00000142677,1,24119769,24143301,-1,ensembl_rest
IL24,ENSG00000162892,1,206897443,206904139,1,ensembl_rest
IL7,ENSG00000104432,8,78675743,78805527,-1,ensembl_rest
KITLG,ENSG00000049130,12,88492789,88580851,-1,ensembl_rest
LTA,ENSG00000226979,6,31572054,31574324,1,ensembl_rest
MMP1,ENSG00000196611,11,102789401,102798167,-1,ensembl_rest
MMP10,ENSG00000166670,11,102770502,102780628,-1,ensembl_rest
NGF,ENSG00000134259,1,115285904,115338770,-1,ensembl_rest
NRTN,ENSG00000171119,19,5805053,5828324,1,ensembl_rest
NTF3,ENSG00000185652,12,5432088,5521536,1,ensembl_rest
OSM,ENSG00000099985,22,30262829,30266858,-1,ensembl_rest
PLAU,ENSG00000122861,10,73909177,73917501,1,ensembl_rest
S100A12,ENSG00000163221,1,153373703,153375660,-1,ensembl_rest
SLAMF1,ENSG00000117090,1,160608100,160647056,-1,ensembl_rest
TGFA,ENSG00000163235,2,70447284,70554193,-1,ensembl_rest
TGFB1,ENSG00000105329,19,41288203,41353961,-1,ensembl_rest
TNFRSF11B,ENSG00000164761,8,118923557,118952251,-1,ensembl_rest
TNFSF10,ENSG00000121858,3,172505503,172523529,-1,ensembl_rest
TNFSF12,ENSG00000239697,17,7548508,7557890,1,ensembl_rest
TNFSF14,ENSG00000125735,19,6658085,6670621,-1,ensembl_rest
VEGFA,ENSG00000112715,6,43770184,43786487,1,ensembl_rest
