cpg,gene,in_type2_panel,type2_match
cg00010445,RFX1,False,
cg00014561,NUP93,False,
cg00019841,MAPK4,False,
cg00021513,-,False,
cg00028211,-,False,
cg00040588,MXRA8,False,
cg00052385,ST3GAL1,False,
cg00055764,RIMBP2,False,
cg00057667,-,False,
cg00058708,UBXN2A,False,
cg00068153,CACNA1S,False,
cg00068428,-,False,
cg00073543,-,False,
cg00085732,SLC13A2,False,
cg00095018,MAPK13,False,
cg00095523,-,False,
cg00095688,PRKCZ,False,
cg00109344,RGS3,False,
cg00110695,FBXL4,False,
cg00113315,SLC2A5,False,
cg00114012,SLC2A8,False,
cg00115178,CAMK1D,False,
cg00115288,EPS8L2,False,
cg00127505,-,False,
cg00138126,PMEPA1,False,
cg00144186,FJX1,False,
cg00145969,FAM5C,False,
cg00152644,SPRR2E,False,
cg00153082,-,False,
cg00154119,-,False,
cg00170714,MLX;PSMC3IP,False,
cg00178661,IGSF3,False,
cg00186499,RBM38,False,
cg00192031,-,False,
cg00193959,DOCK1,False,
cg00199059,TP53RK,False,
cg00204465,MYO15B,False,
cg00207280,TRIB1,False,
cg00217953,SEMA4C,False,
cg00220721,PRR5L,False,
cg00234261,WDR86,False,
cg00240195,NR4A2,False,
cg00248521,CASKIN1,False,
cg00249503,DNAH17,False,
cg00250430,DMRT2,False,
cg00253564,PLEKHG5,False,
cg00255699,TRIT1,False,
cg00261325,AACSL,False,
cg00263619,CCDC41,False,
cg00269606,CRH,False,
cg00288376,-,False,
cg00289503,COL9A3,False,
cg00290086,DMRT2,False,
cg00291837,-,False,
cg00295182,PANK4,False,
cg00295259,GLI2,False,
cg00299972,TLX1,False,
cg00308159,MN1,False,
cg00308936,DDAH1,False,
cg00313722,C19orf6,False,
cg00316485,ZNF423,False,
cg00318573,CHRNA4,False,
cg00327072,NEURL1B,False,
cg00327332,CSTT,False,
cg00328058,PLEKHN1;KLHL17,False,
cg00329656,-,False,
cg00330825,RPLP2;SNORA52,False,
cg00333678,-,False,
cg00344900,-,False,
cg00345314,SGK3,False,
cg00347620,TBX3,False,
cg00348891,-,False,
cg00349061,SLC30A2,False,
cg00349895,TRIM2,False,
cg00352005,KDM3A,False,
cg00353923,LRRC4;SND1,False,
cg00362818,CLN5,False,
cg00363312,HIPK2,False,
cg00367135,BEST1,False,
cg00367962,-,False,
cg00375250,OLFML2A,False,
cg00390694,TCEA2,False,
cg00391067,LOC100271715,False,
cg00394823,ACSM3,False,
cg00397179,-,False,
cg00397422,SLFN14,False,
cg00400096,-,False,
cg00401091,NFATC2,False,
cg00409201,ZSCAN1,False,
cg00409356,IRX4,False,
cg00414077,C20orf118,False,
cg00425678,-,False,
cg00427635,TBC1D21,False,
cg00428193,PEG3;ZIM2,False,
cg00432659,-,False,
cg00438309,-,False,
cg00451397,GTF2A1L;STON1-GTF2A1L,False,
cg00456557,C6orf147,False,
cg00456651,SDC3,False,
cg00458016,PRR12,False,
cg00459232,CD9,False,
cg00460916,ITGAE,False,
cg00461060,GALNT9,False,
cg00463746,ROR1,False,
cg00465927,PAQR7,False,
cg00471190,IL32,False,
cg00476243,-,False,
cg00476771,-,False,
cg00486998,MECOM,False,
cg00489394,HRASLS5,False,
cg00492574,KLF4,False,
cg00495311,LRRC58,False,
cg00498401,EVPL,False,
cg00500936,CAMKK2,False,
cg00507008,-,False,
cg00510552,NMRAL1,False,
cg00514723,CHD6,False,
cg00516481,PDE9A,False,
cg00525496,NEDD9,False,
cg00528616,ZNRF1,False,
cg00530720,DGKZ,False,
cg00545796,IFT140,False,
cg00549219,-,False,
cg00554993,CEBPE,False,
cg00559992,PIK3R1,False,
cg00567703,HOXC4;HOXC5;HOXC6,False,
cg00567854,BTG2,False,
cg00573504,-,False,
cg00578220,KHDRBS2,False,
cg00581422,-,False,
cg00582663,CHD3,False,
cg00583733,ALDOA,False,
cg00585790,LIMS1,False,
cg00587115,-,False,
cg00587472,-,False,
cg00594191,-,False,
cg00609333,MGST1,False,
cg00615941,-,False,
cg00625783,-,False,
cg00631287,-,False,
cg00632466,-,False,
cg00634542,SLC11A1,False,
cg00637085,-,False,
cg00639200,-,False,
cg00653700,-,False,
cg00659931,PCSK6,False,
cg00660608,-,False,
cg00666105,SOX2OT;SOX2,False,
cg00676801,STAT1,False,
cg00689772,-,False,
cg00690609,-,False,
cg00699617,MAPT,False,
cg00707777,TKT,False,
cg00711896,ZNF48,False,
cg00714309,RAB3B,False,
cg00716040,RCAN3,False,
cg00716470,-,False,
cg00723994,-,False,
cg00725472,TNS3,False,
cg00727912,SLC17A9,False,
cg00739353,-,False,
cg00741609,TLX1,False,
cg00741954,GMDS,False,
cg00746386,-,False,
cg00751072,SSBP4,False,
cg00753399,MOBKL1B,False,
cg00754604,RBMS1,False,
cg00760950,-,False,
cg00765922,BCAN,False,
cg00771722,IL3,False,
cg00778807,-,False,
cg00790307,SMCR5;RAI1,False,
cg00793186,NRG2,False,
cg00803453,SPEG,False,
cg00804043,PIK3R6,False,
cg00805874,ZBTB12,False,
cg00807464,CUX2,False,
cg00809021,-,False,
cg00809164,MT1L,False,
cg00816039,TNFSF13;TNFSF12-TNFSF13,False,
cg00819338,-,False,
cg00820919,PLEKHH2,False,
cg00821731,WNT10A,False,
cg00832457,BICD1,False,
cg00832924,CTTNBP2,False,
cg00841408,CAMK1,False,
cg00841968,ACTN1,False,
cg00843623,ZNF433,False,
cg00847453,DDO,False,
cg00848007,IFNG,False,
cg00849642,CORO1C,False,
cg00850073,-,False,
cg00850083,C21orf88,False,
cg00858400,SLC7A5,False,
cg00859314,-,False,
cg00864768,MBOAT7,False,
cg00872232,-,False,
cg00879541,C14orf166,False,
cg00882883,-,False,
cg00883689,SPTBN1,False,
cg00888479,SLC24A3,False,
cg00892324,LFNG,False,
cg00897276,SRGAP3,False,
cg00898683,DNMT3A,False,
cg00907288,SRGAP3,False,
cg00909275,ATXN2,False,
cg00910972,MAPK15,False,
cg00922310,DCHS1,False,
cg00923890,-,False,
cg00926318,ENTPD6,False,
cg00931957,-,False,
cg00940546,ZNF704,False,
cg00944309,-,False,
cg00956964,SLMO1,False,
cg00965133,BLCAP,False,
cg00971695,-,False,
cg00986133,KCNMA1,False,
cg01000631,-,False,
cg01013023,GLI3,False,
cg01013155,-,False,
cg01015899,PXN,False,
cg01022117,PKP1,False,
cg01026233,-,False,
cg01026730,ARSB,False,
cg01028389,-,False,
cg01030534,FAM115A,False,
cg01034411,-,False,
cg01040749,INPP5A,False,
cg01040850,MR1,False,
cg01048107,MSC,False,
cg01049530,BMP3,False,
cg01064902,SIRT5,False,
cg01067137,ZNF646,False,
cg01074622,-,False,
cg01080998,LOC645323,False,
cg01081303,HAUS3,False,
cg01092213,UPP1,False,
cg01105256,SUOX,False,
cg01107142,GDNF,False,
cg01116831,-,False,
cg01119452,ELMO1,False,
cg01142328,EVPLL,False,
cg01161042,ZFYVE28,False,
cg01166488,LOC153328,False,
cg01171355,SLC12A7,False,
cg01172150,-,False,
cg01175020,TLX1,False,
cg01177100,SRGAP3,False,
cg01183122,KCNE1,False,
cg01208318,-,False,
cg01223986,SNX29,False,
cg01231183,-,False,
cg01232717,TCEB1,False,
cg01233934,PRDM13,False,
cg01238343,NGDN,False,
cg01242348,CEBPE,False,
cg01243586,SAA2,False,
cg01248445,PPP1R3D,False,
cg01256260,-,False,
cg01273330,-,False,
cg01273672,PARD3B,False,
cg01280180,TXNDC6,False,
cg01289206,HCCA2,False,
cg01289421,B3GNT3,False,
cg01298987,HIRIP3,False,
cg01301339,-,False,
cg01303372,BAG3,False,
cg01311045,CATSPER1,False,
cg01311995,-,False,
cg01323964,SNORA22;CCT6P1,False,
cg01327169,-,False,
cg01330312,NCOA4,False,
cg01330991,DNAH2,False,
cg01332882,ZNFX1,False,
cg01339704,SMTNL2,False,
cg01349903,WBSCR17,False,
cg01359822,ETS2,False,
cg01360586,KCNJ6,False,
cg01364755,ADARB2,False,
cg01376665,PHGR1,False,
cg01377358,ASXL1,False,
cg01383881,-,False,
cg01383911,TRIM39,False,
cg01385679,ELMO2,False,
cg01404163,TOX3,False,
cg01415562,-,False,
cg01417394,INPP4B,False,
cg01418351,MAEA,False,
cg01425731,ARL11,False,
cg01435678,IL6R,False,
cg01445399,LOC339524,False,
cg01450600,FAM160B1,False,
cg01457778,-,False,
cg01465769,PRKCD,False,
cg01471293,RGL2,False,
cg01471572,-,False,
cg01472101,CLEC10A,False,
cg01498437,-,False,
cg01499988,MSMP,False,
cg01515543,LOC100129066,False,
cg01518279,-,False,
cg01519765,ETV5,False,
cg01520924,HSPA2,False,
cg01521397,TAF4,False,
cg01526089,P2RX1,False,
cg01544270,EXD3,False,
cg01545587,TMEM121,False,
cg01550148,H2AFY,False,
cg01557792,KIAA0247,False,
cg01559259,CHST1,False,
cg01559912,PCSK4,False,
cg01561108,-,False,
cg01567656,MYO7A,False,
cg01578324,CLIC1,False,
cg01580044,PHTF1,False,
cg01586506,SOX10,False,
cg01588748,SYT1,False,
cg01590076,-,False,
cg01591037,PDE6H,False,
cg01595951,-,False,
cg01601476,EPB41L4B,False,
cg01606027,LIMK2,False,
cg01612824,-,False,
cg01618851,CD209,False,
cg01631162,RNF39,False,
cg01641136,CISH,False,
cg01642901,SH3RF1,False,
cg01646665,TMEM79;SMG5,False,
cg01647561,-,False,
cg01650864,-,False,
cg01665970,C6orf10,False,
cg01673865,SPTB,False,
cg01681881,MIR130A,False,
cg01682208,-,False,
cg01682504,-,False,
cg01684586,IGFBP7,False,
cg01686177,-,False,
cg01692482,ZNF217,False,
cg01692842,ACAD8,False,
cg01704609,TNFRSF19,False,
cg01709846,TEKT5,False,
cg01710852,SMAD3,False,
cg01711344,UNC93B1,False,
cg01753359,ZNF572,False,
cg01761256,-,False,
cg01764046,HCRTR1,False,
cg01770400,SERPINC1,False,
cg01777397,CLIP4,False,
cg01798341,TBCD,False,
cg01798813,-,False,
cg01800926,CLSTN1,False,
cg01802640,-,False,
cg01813965,CCDC135,False,
cg01814098,ALDH7A1,False,
cg01816726,ST8SIA6,False,
cg01819568,KIT,False,
cg01821751,-,False,
cg01822050,-,False,
cg01829672,CLINT1,False,
cg01830023,-,False,
cg01831805,-,False,
cg01835368,C7orf36,False,
